,UMAP1,UMAP2
C#CCOc1ccccc1C=O,14.579701,1.0700458
C#Cc1cc(F)ccc1C=O,12.422216,1.3329103
C#Cc1ccc(C=O)nc1,3.8405247,-2.3839653
C#Cc1ccc(C=O)o1,8.636526,-5.2798114
C#Cc1cccc(C=O)c1,16.8371,-4.2391224
C#Cc1ccccc1C=O,12.531815,1.0761226
C=C(C)COc1ccccc1C=O,14.871334,0.45883313
C=CCOc1ccc(C=O)cc1OC,13.2434435,-3.9963791
C=CCOc1cccc(C=O)c1,15.06491,-4.5635834
C=CCOc1ccccc1C=O,14.597152,0.69014317
C=Cc1cccc(C=O)c1,15.694868,-4.337174
C=Cc1ccccc1C=O,13.063133,0.037507024
CC(C)(C)OC(=O)COc1ccc(Br)cc1C=O,15.358752,0.13390806
CC(C)(C)OC(=O)N1CC(Sc2ccc(C=O)cc2)C1,11.6523075,-5.636783
CC(C)(C)OC(=O)N1CCC(c2ccc(C=O)cc2)CC1,11.897636,-6.0474024
CC(C)(C)OC(=O)N1CCCc2cc(C=O)ccc21,11.982322,-5.067507
CC(C)(C)OC(=O)N1CCCc2ccc(C=O)cc21,12.539873,-5.712141
CC(C)(C)OC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2C=O)CC1,14.191992,-1.4713875
CC(C)(C)OC(=O)N1CCc2c(C=O)cccc21,12.865487,-4.89576
CC(C)(C)OC(=O)N1CCc2cc(C=O)ccc2C1,12.380997,-6.1453295
CC(C)(C)OC(=O)N1CCc2cc(C=O)sc2C1,10.863608,-3.5875723
CC(C)(C)OC(=O)N1CCc2ccc(C=O)cc2C1,12.556163,-6.165359
CC(C)(C)OC(=O)N1CCc2sc(C=O)cc2C1,10.973454,-3.6090152
CC(C)(C)OC(=O)N1Cc2ccc(C=O)cc2C1,12.8641205,-6.0212436
CC(C)(C)OC(=O)c1cc(F)c(C=O)c(F)c1,3.8103223,3.9970713
CC(C)(C)OC(=O)c1ccc(C=O)cc1,16.205528,-5.9775543
CC(C)(C)OC(=O)c1cccc(C=O)c1,15.1039,-6.016158
CC(C)(C)OC(=O)n1c(C=O)cc2cc(Br)ccc21,11.296039,-4.71021
CC(C)(C)OC(=O)n1ccc(C=O)c1,12.819715,-2.87254
CC(C)(C)OC(=O)n1ccc2cc(C=O)ccc21,12.739778,-4.9751
CC(C)(C)OC(=O)n1ccc2ccc(C=O)cc21,12.752174,-5.2064805
CC(C)(C)Oc1ccccc1C=O,14.218496,-0.19729036
CC(C)(C)c1cc(Br)c(C=O)c(Br)c1,5.6170597,1.9386863
CC(C)(C)c1cc(C=O)ccn1,17.76884,-4.712115
CC(C)(C)c1ccc(C=O)cn1,15.949064,-3.4045966
CC(C)(C)c1ccc(Cl)c(C=O)c1,12.682927,-0.07195415
CC(C)(C)c1ccc(OCc2ccccc2)c(C=O)c1,14.990599,-0.82118213
CC(C)(C)c1ccc(Oc2ccc(C=O)cc2)cc1,11.921234,-5.2412505
CC(C)(C)c1cccc(C=O)c1,15.50045,-4.878232
CC(C)Cc1ccc(C=O)cc1,15.235355,-4.844081
CC(C)Oc1cc(C=O)ccc1F,14.364814,-4.2064447
CC(C)Oc1ccc(Br)cc1C=O,15.73757,0.734625
CC(C)Oc1cccc(C=O)c1,14.563876,-4.4775243
CC(C)Oc1ccccc1C=O,14.906411,0.42440286
CC(C)Oc1cccnc1C=O,4.5057235,-1.057457
CC(C)Oc1ncccc1C=O,14.503406,1.9934392
CC(C)c1ccc(C=O)c(Br)c1,11.638526,-0.19378942
CC(C)c1ccc(C=O)cc1,15.561391,-4.237843
CC(C)c1cccc(C(C)C)c1C=O,16.675003,-1.107723
CC(C)c1cccc(C=O)c1,16.055,-4.401068
CC(C)c1ccccc1C=O,17.090023,-1.4860867
CC(C)c1cncc(C=O)c1,16.618132,-3.5324702
CC(C)n1c(C=O)c(-c2ccc(F)cc2)c2ccccc21,11.424808,-4.2346716
CC1(C)Oc2ccc(C=O)cc2O1,13.615012,-3.735749
CC1(C)c2cc(Br)ccc2-c2ccc(C=O)cc21,13.302,-5.762182
CC1(c2cccc(C=O)c2)OCCO1,15.397692,-5.299379
CCCCC(CC)Cc1cc(C=O)sc1Br,10.620125,-3.6693745
CCCCCCOc1ccc(Br)cc1C=O,15.721165,0.07519334
CCCCCCc1cc(C=O)sc1Br,10.357617,-3.1844857
CCCCOc1ccc(C=O)cc1OC,12.50189,-4.4094496
CCCOc1c(Cl)cc(C=O)cc1OC,14.002854,-5.809176
CCCOc1ccc(Br)cc1C=O,15.844423,0.934516
CCCOc1ccc(Cl)cc1C=O,15.519697,1.1919619
CCCOc1cccc(C=O)c1,14.617039,-4.713242
CCCOc1ccccc1C=O,15.251476,0.56590617
CCCOc1ncccc1C=O,14.584155,1.971796
CCCc1ccc(C=O)cc1,15.50556,-4.3447456
CCN(CC)c1ccc(C=O)cn1,12.756259,-3.8324878
CCOC(=O)c1cc(C=O)c(Cl)s1,11.54095,-0.48857826
CCOC(=O)c1ccc(-c2ccc(C=O)cc2)cc1,13.630724,-5.785555
CCOC(=O)c1ccc(-c2ccc(C=O)cc2)s1,13.931026,-5.471903
CCOC(=O)c1ccc(-c2ccc(C=O)o2)cc1,8.799021,-4.652346
CCOC(=O)c1ccc(C=O)c(F)c1,13.079927,3.1176999
CCOC(=O)c1ccc(C=O)cc1,17.161646,-5.6520176
CCOC(=O)c1ccc(C=O)nc1,3.6573012,-2.7145367
CCOC(=O)c1ccc(Oc2ccc(C=O)c(Br)c2)cc1,12.087374,-5.730151
CCOC(Cn1ncc(I)c1C=O)OCC,11.418741,-4.0720434
CCOc1c(Br)cc(C)cc1C=O,13.483431,0.04504703
CCOc1c(C=O)cc([N+](=O)[O-])cc1OC,15.725068,1.289088
CCOc1cc(Br)cc(C=O)c1,15.652328,-6.0181966
CCOc1cc(C(=O)OC)ccc1C=O,14.323322,1.7556695
CCOc1cc(C=O)c(Br)cn1,10.136493,1.4538994
CCOc1cc(C=O)cc(Br)c1OCc1ccccc1,11.919948,-5.7141957
CCOc1cc(C=O)cc(OCC)c1Br,13.403397,-5.900773
CCOc1cc(C=O)ccc1OC,13.488672,-3.619694
CCOc1cc(C=O)ccc1OC(C)C,13.07718,-4.3581915
CCOc1cc(C=O)ccc1OCc1c(Cl)cccc1Cl,11.869067,-5.460722
CCOc1cc(F)cc(C=O)c1,15.804085,-4.8409877
CCOc1cc2c(cc1C=O)CCC2,14.888714,-0.32215428
CCOc1ccc(Br)cc1C=O,15.708842,1.5180798
CCOc1ccc(C=O)c(F)c1F,13.774014,0.14091179
CCOc1ccc(C=O)cc1Br,13.10715,-3.195223
CCOc1ccc(C=O)cc1Cl,13.025583,-3.3004997
CCOc1ccc(C=O)cn1,14.2022,-2.911838
CCOc1ccc(Cl)cc1C=O,15.264927,1.3378328
CCOc1ccc2cc(C=O)ccc2c1,13.402701,-4.56571
CCOc1ccc2ccccc2c1C=O,14.832948,1.424891
CCOc1ccc2nc(Cl)c(C=O)cc2c1,14.691217,-1.6053684
CCOc1cccc(C=O)c1,15.027423,-4.258645
CCOc1cccc(C=O)c1OCC,14.289475,-0.11463266
CCOc1cccc(C=O)n1,4.7675605,-2.3360758
CCOc1ccccc1C=O,14.578411,0.6545264
CCOc1cccnc1C=O,4.8434706,-0.89730793
CCOc1ccncc1C=O,15.127968,2.1133099
CCOc1ncccc1C=O,14.345812,2.1284614
CCS(=O)(=O)c1ccc(C=O)cc1,18.528612,-5.410167
CCc1cc(Br)ccc1C=O,12.60635,-0.09822487
CCc1ccc(C=O)c(Br)c1,11.625854,-0.07462782
CCc1ccc(C=O)cc1,15.72768,-4.1711516
CCc1ccc(C=O)s1,10.265819,-2.296627
CCc1cccc(C=O)c1,16.323513,-4.3961687
CCc1cccc2cc(C=O)c(Cl)nc12,12.876328,2.0381324
CCc1ccccc1C=O,17.173086,-1.1937312
CCn1c(C=O)cc2ccccc21,10.381143,-4.3150926
CCn1ccc2cc(C=O)ccc21,13.239514,-4.083809
CN(C)C(=O)Oc1ccc(C=O)cc1,13.29231,-4.0160093
CN(C)C(=O)c1ccc(C=O)cc1,15.415006,-5.843352
CN(C)C(=O)c1cccc(C=O)c1,15.19838,-5.413943
CN(C)Cc1ccc(C=O)cc1,14.174765,-4.0416017
CN(C)Cc1cccc(C=O)c1,14.298387,-3.573904
CN(C)c1cc(Br)ccc1C=O,14.742135,-1.9394454
