,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_NMR_anisotropy,C1_NMR_shift,C1_VBur,C2_APT_charge,C2_ES_root_Mulliken_charge,C2_ES_root_NPA_Rydberg,C2_ES_root_NPA_charge,C2_ES_root_NPA_core,C2_Mulliken_charge,C2_NMR_anisotropy,C2_NMR_shift,C2_NPA_Rydberg,C2_NPA_charge,C2_NPA_core,O1_APT_charge,O1_ES_root_Mulliken_charge,O1_ES_root_NPA_Rydberg,O1_ES_root_NPA_core,O1_Mulliken_charge,O1_NMR_anisotropy,O1_NMR_shift,O1_NPA_Rydberg,O1_NPA_core,O1_VBur,conversion,selectivity
C#CCOc1ccccc1C=O,-535.2410455833583,2.4125034213292045,2150.9989949346304,1489.2153785820124,0.16346273941497078,4.528223024942871,0.15778865284558838,0.0950371632875073,-0.2528258161330956,-0.06275148955808107,160.17199999999997,1553.232520347169,-0.4124988229312194,-0.11097927665940613,0.018601667805256534,-0.21510644273836133,1.9987836573967632,154.38971112026198,69.265701127824,0.6442100201385521,0.9193154500723255,0.10450032454048554,0.0383783021854762,0.18967758302796445,1.9992688746523393,0.20718607661221053,152.4606998009479,10.842764980699105,0.03876014333060844,0.415581763928604,1.9993186116219688,-0.7170298565387707,-0.06872397521964811,0.012028032517552871,1.99975,-0.22347618407386086,1058.1897783735592,-282.911388654054,0.011326381109151004,1.9997497369696293,0.3458308580326446,89.5,1.3635649667269656
C#Cc1cc(F)ccc1C=O,-520.033272745572,1.8042061002702876,1771.8438089025,1192.0924782201173,0.12079875490075379,2.147357608409767,0.17522591049374084,0.09497410663021767,-0.2702000171239585,-0.08025180386352317,148.13629999999998,961.5378319949376,-0.35714354122900743,-0.06392442231263021,0.017878196136476825,-0.17377441806521648,1.9988,176.75556233008953,61.38093140399671,0.6463932421751861,0.8713421327778302,0.11822309710571541,0.03626508089111736,0.2156260258985879,1.9992509835363772,0.20064853571968214,141.08672198358138,10.022393653502842,0.03784032641846253,0.41697213884396495,1.999300655690918,-0.6951814851536405,-0.06092914988500087,0.01187049105469034,1.9997496721545407,-0.2108987508883755,1041.6369974812114,-288.7312906492553,0.011482785972903848,1.9997496721545407,0.3437644186053297,19.0,1.0449781315533908
C#Cc1ccc(C=O)nc1,-436.9565789521755,0.7733080380524014,1639.9369151131189,1083.076225018815,0.11585684916012458,3.4494680596250635,0.1828187571644066,0.08930913249367413,-0.2721278896580807,-0.09350962467073248,131.1336,1050.3368704651966,-0.13760704859209572,-0.11423616677025783,0.026949716732628286,0.04387546772205251,1.9988399858366315,161.00100160893405,44.38680632917016,0.595185317101119,0.9496358411055607,0.14235476026179164,0.03810001416336859,0.23471966716083825,1.9993000141633688,0.2209620200470373,131.50388842438153,4.363675586745223,0.03917031159410889,0.40917395224161385,1.9993400141633686,-0.7117015527220518,-0.07025223986374945,0.01169061610653349,1.9997499929183158,-0.20091746955524414,1052.1146102832374,-306.8563889428099,0.011420474472847629,1.9997499929183158,0.33935301554754754,98.0,0.9015725489977664
C#Cc1ccc(C=O)o1,-418.7497627919189,0.8729102753415308,1305.402319453649,1192.5369143312437,0.09704122058126849,3.6383305924222276,0.16700329658733462,0.08619729152410521,-0.2532005881114398,-0.0808060050632294,120.10740000000001,869.2349770625406,-0.3095802945821007,0.06928068220727537,0.02786460783797666,0.17777470647066085,1.99872,97.1260887077462,42.60612741186308,0.5754952864231963,1.0644421989497868,0.09144652407915223,0.035677745134163386,0.14150465636474763,1.9992511519594942,0.17924036831974247,129.42638646364608,21.200206240549434,0.03685617648607002,0.364327328971945,1.9993011519594943,-0.77361628876199,-0.05488542111518461,0.012412941083579869,1.999758848040506,-0.2125292393026948,1034.160600453907,-279.88672577332284,0.011602573448132385,1.9997500000000001,0.32656113183168245,99.0,1.3879726066972542
C#Cc1cccc(C=O)c1,-420.9338629529625,1.6250811389507023,1583.4778709464765,1089.3135602606453,0.12799810048273308,2.9135261593747854,0.1689677713925008,0.09330890609728715,-0.262276677489788,-0.07565886529521365,130.1458,939.377444690803,-0.3082948505547787,-0.06881408582844561,0.017392560772372934,-0.18007536463423762,1.99879,174.98986853056127,59.369890285035076,0.618797384169904,0.9465956509112645,0.0928452186943951,0.03792487845525413,0.19277510487932661,1.99926,0.19919035023839254,128.66239072469443,8.381247379427018,0.0388430794207203,0.4230833225102121,1.9993,-0.7018171177542574,-0.054074439141479594,0.01228179903453383,1.99975,-0.20732851514296857,1026.3930220705527,-291.74061529506,0.011547439227627066,1.99974,0.3405947288462267,99.0,1.3879726066972542
C#Cc1ccccc1C=O,-420.9331714837762,0.8258544609527286,1401.843945761033,1222.5637339201724,0.12813102886576638,3.1247413656561385,0.17105716520964592,0.09289500493862621,-0.26395217014827216,-0.0781621602710197,130.1458,1126.7887141114945,-0.2685402891288492,-0.070061398147763,0.01814796416472334,-0.1616638527079924,1.9988,181.87259556254352,57.486801332043235,0.648213388960541,0.8519586604051942,0.1179712914822555,0.03626720259580241,0.2206361176602503,1.9992509556997666,0.20031032926526585,142.21881664254036,8.178644020545699,0.03773006969510282,0.41867200592635145,1.9993006371331778,-0.6872241828035015,-0.06135503287210093,0.011840831264023747,1.9997496814334108,-0.20976421874082657,1053.6779546101193,-295.2849906545318,0.011472105530379481,1.9997496814334108,0.3457090987327684,99.0,1.3879726066972542
C=C(C)COc1ccccc1C=O,-575.7084513221215,2.8233970536697157,2918.7369802245216,1469.4659381975462,0.21700594528746972,4.787492106475821,0.15434440510197248,0.09316851013921215,-0.24751291524118466,-0.061175894962760324,176.21459999999996,1676.7111671704586,-0.4338647693631688,-0.11490483680744079,0.018513640922473207,-0.216954820593864,1.998785941246977,151.9335304612193,70.64432449603055,0.641311688404951,0.9235859564561002,0.1000103268903211,0.038529011437477306,0.18742080198138172,1.99926,0.2033612904986942,152.9371025118847,11.254829253776407,0.0387375299758172,0.4149673730302267,1.99931,-0.726006841839341,-0.06957138368655676,0.012039424956271283,1.9997499999999997,-0.22510449050391707,1057.5676992024214,-281.3719332209545,0.0113118824939543,1.9997499999999997,0.3432542865631347,95.0,1.3879726066972542
C=CCOc1ccc(C=O)cc1OC,-650.790491832833,1.5696789758740772,3509.121469903097,1768.8843460564178,0.22201884824048604,2.4763906149950965,0.14861288248647261,0.08905611802359342,-0.237669000510066,-0.05955676446287917,192.21400000000003,1639.3008128707354,-0.41358376366699623,-0.0440847123634152,0.01728109133348199,-0.1736465808775334,1.9988100000000002,163.98653776007026,63.70872319504506,0.6171698457511947,1.036008540892955,0.07344596008043056,0.03808340156880997,0.16996729325622675,1.9992405058299318,0.1907945889976899,128.08768543585222,9.789535249850625,0.03879423636763106,0.4175635439750842,1.9992873371236175,-0.7526656121457505,-0.07156549507974692,0.012347360543354644,1.99975,-0.22443032019967454,983.0879623870848,-266.0646890483879,0.011498318150113073,1.99975,0.34044462710212275,71.0,1.1109847771625294
C=CCOc1cccc(C=O)c1,-536.4780845204202,1.4071859861661031,2692.474318294451,1408.196596346839,0.1872203906546869,2.168134202650719,0.1579519898170377,0.09037628397123021,-0.2483282737882679,-0.06757570584580751,162.1878,1529.9199442809506,-0.22939719083254984,-0.058167575717878534,0.017470564266755993,-0.16063951963955087,1.9988195420378079,172.1319083239033,57.45213583523112,0.6200890757441498,0.9452923441763748,0.08049917244399124,0.03795116563017147,0.18350438955167053,1.9992504579621924,0.19478197569746997,129.49215180738923,7.9083713906496556,0.03870427925391532,0.4229999138332786,1.9992909580261835,-0.7006801847632833,-0.06304075036032497,0.012300139370993949,1.9997500000000001,-0.21507210468986324,1009.2764474334035,-280.7418174372535,0.01152858401162463,1.99974,0.3417879185730719,97.0,1.3879726066972542
C=CCOc1ccccc1C=O,-536.4759922038883,2.7574490182047877,2541.9191675803204,1387.5526134926197,0.18756075100971686,4.70028442002854,0.1547104667925694,0.09334431753644462,-0.248054784329014,-0.06136614925612481,162.18779999999998,1407.5934035772752,-0.43959020362011403,-0.1171639260393496,0.018441780315057617,-0.21790433243988655,1.998789812486693,152.56248402209633,70.63458333105802,0.6390822873259693,0.918439990529881,0.10391371508820502,0.03834142912323403,0.18925970179530177,1.9992701070629515,0.20590664950652085,153.49237894673843,10.987407622412746,0.03871335993175298,0.4142778797725396,1.9993101070629513,-0.7237276355376951,-0.06928457500768312,0.011998024208293889,1.9997499733874027,-0.22509522026414433,1059.3513835883005,-282.1414599420849,0.011307677631971599,1.9997498929370479,0.3439526287546655,94.0,1.3879726066972542
