reactant_aldehyde_nostereo,conv,deltaG
C#CCOc1ccccc1C=O,89.5,1.3635649667269656
C#Cc1cc(F)ccc1C=O,19.0,1.0449781315533908
C#Cc1ccc(C=O)nc1,98.0,0.9015725489977663
C#Cc1ccc(C=O)o1,99.0,1.3879726066972542
C#Cc1cccc(C=O)c1,99.0,1.3879726066972542
C#Cc1ccccc1C=O,99.0,1.3879726066972542
C=C(C)COc1ccccc1C=O,95.0,1.3879726066972542
C=CCOc1ccc(C=O)cc1OC,71.0,1.1109847771625294
C=CCOc1cccc(C=O)c1,97.0,1.3879726066972542
C=CCOc1ccccc1C=O,94.0,1.3879726066972542
C=Cc1cccc(C=O)c1,98.0,1.3879726066972542
C=Cc1ccccc1C=O,98.0,1.3879726066972542
CC(C)(C)OC(=O)COc1ccc(Br)cc1C=O,99.0,1.3879726066972542
CC(C)(C)OC(=O)N1CC(Sc2ccc(C=O)cc2)C1,46.0,1.1883837141090154
CC(C)(C)OC(=O)N1CCC(c2ccc(C=O)cc2)CC1,96.0,1.3879726066972542
CC(C)(C)OC(=O)N1CCCc2cc(C=O)ccc21,93.0,1.3879726066972542
CC(C)(C)OC(=O)N1CCCc2ccc(C=O)cc21,90.0,1.3879726066972542
CC(C)(C)OC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2C=O)CC1,35.0,1.0180107051043732
CC(C)(C)OC(=O)N1CCc2c(C=O)cccc21,43.0,1.3879726066972542
CC(C)(C)OC(=O)N1CCc2cc(C=O)ccc2C1,87.0,1.3879726066972542
CC(C)(C)OC(=O)N1CCc2cc(C=O)sc2C1,96.0,1.3879726066972542
CC(C)(C)OC(=O)N1CCc2ccc(C=O)cc2C1,92.0,1.3879726066972542
CC(C)(C)OC(=O)N1CCc2sc(C=O)cc2C1,68.0,1.3879726066972542
CC(C)(C)OC(=O)N1Cc2ccc(C=O)cc2C1,97.0,1.2845864866092154
CC(C)(C)OC(=O)c1cc(F)c(C=O)c(F)c1,99.0,1.3879726066972542
CC(C)(C)OC(=O)c1ccc(C=O)cc1,97.5,1.3879726066972542
CC(C)(C)OC(=O)c1cccc(C=O)c1,93.5,1.3879726066972542
CC(C)(C)OC(=O)n1c(C=O)cc2cc(Br)ccc21,91.0,0.9634398649569116
CC(C)(C)OC(=O)n1ccc(C=O)c1,83.5,1.339157326756677
CC(C)(C)OC(=O)n1ccc2cc(C=O)ccc21,91.5,1.3879726066972542
CC(C)(C)OC(=O)n1ccc2ccc(C=O)cc21,74.0,1.3126748825968737
CC(C)(C)Oc1ccccc1C=O,91.0,1.3879726066972542
CC(C)(C)c1cc(Br)c(C=O)c(Br)c1,99.0,1.3879726066972542
CC(C)(C)c1cc(C=O)ccn1,99.0,1.339157326756677
CC(C)(C)c1ccc(C=O)cn1,98.0,1.3879726066972542
CC(C)(C)c1ccc(Cl)c(C=O)c1,99.0,1.1883837141090154
CC(C)(C)c1ccc(OCc2ccccc2)c(C=O)c1,94.0,1.3879726066972542
CC(C)(C)c1ccc(Oc2ccc(C=O)cc2)cc1,91.0,1.3879726066972542
CC(C)(C)c1cccc(C=O)c1,90.5,1.3879726066972542
CC(C)Cc1ccc(C=O)cc1,94.5,1.3879726066972542
CC(C)Oc1cc(C=O)ccc1F,94.5,1.2986306846030446
CC(C)Oc1ccc(Br)cc1C=O,99.0,1.3879726066972542
CC(C)Oc1cccc(C=O)c1,95.5,1.3879726066972542
CC(C)Oc1ccccc1C=O,91.0,1.3879726066972542
CC(C)Oc1cccnc1C=O,31.0,1.3879726066972542
CC(C)Oc1ncccc1C=O,96.5,1.0180107051043732
CC(C)c1ccc(C=O)c(Br)c1,99.0,1.2740147714955132
CC(C)c1ccc(C=O)cc1,95.0,1.3879726066972542
CC(C)c1cccc(C(C)C)c1C=O,21.0,1.3879726066972542
CC(C)c1cccc(C=O)c1,97.0,1.3879726066972542
CC(C)c1ccccc1C=O,91.0,1.3879726066972542
CC(C)c1cncc(C=O)c1,98.0,1.3879726066972542
CC(C)n1c(C=O)c(-c2ccc(F)cc2)c2ccccc21,28.0,0.8301519742044904
CC1(C)Oc2ccc(C=O)cc2O1,79.0,1.3879726066972542
CC1(C)c2cc(Br)ccc2-c2ccc(C=O)cc21,96.0,1.0668259850449504
