index,product,reactant_aldehyde,reactant_amine,conv,dr,ee
1,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=NC=C(C)C=C1,Cc1ccc(C=O)nc1,CC(C)(C)OC(=O)CN,93%,15:01,NAN
2,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(F)C(Cl)=NC=C1,O=Cc1ccnc(Cl)c1F,CC(C)(C)OC(=O)CN,76%,4:01,NAN
3,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CN=C(C(F)(F)F)C=C1,O=Cc1ccc(C(F)(F)F)nc1,CC(C)(C)OC(=O)CN,73%,12:01,NAN
4,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(C(F)(F)F)C=C(Br)C=C1,O=Cc1ccc(Br)cc1C(F)(F)F,CC(C)(C)OC(=O)CN,99%,15:01,NAN
5,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=CC=C1F,O=Cc1cc(Cl)ccc1F,CC(C)(C)OC(=O)CN,99%,20:01,NAN
6,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=NC=C(C)C=C1,Cc1ccc(C=O)nc1,CC(C)(C)OC(=O)CN,91%,16:01,NAN
7,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(F)C(Cl)=NC=C1,O=Cc1ccnc(Cl)c1F,CC(C)(C)OC(=O)CN,93%,4:01,NAN
8,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CN=C(C(F)(F)F)C=C1,O=Cc1ccc(C(F)(F)F)nc1,CC(C)(C)OC(=O)CN,71%,11:01,NAN
9,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(C(F)(F)F)C=C(Br)C=C1,O=Cc1ccc(Br)cc1C(F)(F)F,CC(C)(C)OC(=O)CN,99%,16:01,NAN
10,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=CC=C1F,O=Cc1cc(Cl)ccc1F,CC(C)(C)OC(=O)CN,99%,20:01,8%
11,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC=C(C(OC(C)(C)C)=O)C=C1,CC(C)(C)OC(=O)c1ccc(C=O)cc1,CC(C)(C)OC(=O)CN,98%,20:01,NAN
12,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=NC=C1,O=Cc1ccnc(Cl)c1,CC(C)(C)OC(=O)CN,99%,20:01,99%
13,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(OC)N=CC=C1I,COc1nccc(I)c1C=O,CC(C)(C)OC(=O)CN,75%,20:01,NAN
14,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(C)=C([N+]([O-])=O)C=C1,Cc1cc(C=O)ccc1[N+](=O)[O-],CC(C)(C)OC(=O)CN,32%,20:01,NAN
15,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=NC(C=CC=C2)=C2N1C,Cn1c(C=O)nc2ccccc21,CC(C)(C)OC(=O)CN,84%,20:01,NAN
16,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC=C(C(OC(C)(C)C)=O)C=C1,CC(C)(C)OC(=O)c1ccc(C=O)cc1,CC(C)(C)OC(=O)CN,97%,20:01,NAN
17,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=NC=C1,O=Cc1ccnc(Cl)c1,CC(C)(C)OC(=O)CN,99%,20:01,NAN
18,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(OC)N=CC=C1I,COc1nccc(I)c1C=O,CC(C)(C)OC(=O)CN,83%,20:01,NAN
19,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(C)=C([N+]([O-])=O)C=C1,Cc1cc(C=O)ccc1[N+](=O)[O-],CC(C)(C)OC(=O)CN,35%,20:01,NAN
20,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=NC(C=CC=C2)=C2N1C,Cn1c(C=O)nc2ccccc21,CC(C)(C)OC(=O)CN,86%,20:01,NAN
21,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C([N+]([O-])=O)C(Cl)=CC(Cl)=C1,O=Cc1cc(Cl)cc(Cl)c1[N+](=O)[O-],CC(C)(C)OC(=O)CN,99%,20:01,NAN
22,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(F)C=C(Cl)C=C1F,O=Cc1c(F)cc(Cl)cc1F,CC(C)(C)OC(=O)CN,99%,20:01,99%
23,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(Cl)N=C(Cl)C=C1,O=Cc1ccc(Cl)nc1Cl,CC(C)(C)OC(=O)CN,99%,6:01,NAN
24,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(F)C=C(Br)C=C1F,O=Cc1c(F)cc(Br)cc1F,CC(C)(C)OC(=O)CN,99%,20:01,NAN
25,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(Br)C=C(Cl)C=C1,O=Cc1ccc(Cl)cc1Br,CC(C)(C)OC(=O)CN,99%,20:01,NAN
26,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C([N+]([O-])=O)C(Cl)=CC(Cl)=C1,O=Cc1cc(Cl)cc(Cl)c1[N+](=O)[O-],CC(C)(C)OC(=O)CN,99%,20:01,NAN
27,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(F)C=C(Cl)C=C1F,O=Cc1c(F)cc(Cl)cc1F,CC(C)(C)OC(=O)CN,99%,20:01,NAN
28,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(Cl)N=C(Cl)C=C1,O=Cc1ccc(Cl)nc1Cl,CC(C)(C)OC(=O)CN,99%,6:01,99%
29,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(F)C=C(Br)C=C1F,O=Cc1c(F)cc(Br)cc1F,CC(C)(C)OC(=O)CN,99%,20:01,NAN
30,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(Br)C=C(Cl)C=C1,O=Cc1ccc(Cl)cc1Br,CC(C)(C)OC(=O)CN,99%,20:01,5%
31,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(C(F)(F)F)C=CC=C1F,O=Cc1c(F)cccc1C(F)(F)F,CC(C)(C)OC(=O)CN,87%,20:01,99%
32,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CN=C(Br)C=C1,O=Cc1ccc(Br)nc1,CC(C)(C)OC(=O)CN,99%,17:01,NAN
33,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(Br)C=C(F)C=C1,O=Cc1ccc(F)cc1Br,CC(C)(C)OC(=O)CN,99%,20:01,NAN
34,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC([N+]([O-])=O)=CC=C1,O=Cc1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)CN,98%,13:01,NAN
35,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=CC(C(F)(F)F)=C1,O=Cc1cc(Cl)cc(C(F)(F)F)c1,CC(C)(C)OC(=O)CN,99%,20:01,NAN
36,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(C(F)(F)F)C=CC=C1F,O=Cc1c(F)cccc1C(F)(F)F,CC(C)(C)OC(=O)CN,88%,20:01,NAN
37,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CN=C(Br)C=C1,O=Cc1ccc(Br)nc1,CC(C)(C)OC(=O)CN,99%,17:01,NAN
38,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(Br)C=C(F)C=C1,O=Cc1ccc(F)cc1Br,CC(C)(C)OC(=O)CN,99%,20:01,NAN
39,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC([N+]([O-])=O)=CC=C1,O=Cc1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)CN,98%,13:01,NAN
40,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=CC(C(F)(F)F)=C1,O=Cc1cc(Cl)cc(C(F)(F)F)c1,CC(C)(C)OC(=O)CN,98%,20:01,99%
41,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(Cl)C=NC=C1Cl,O=Cc1c(Cl)cncc1Cl,CC(C)(C)OC(=O)CN,98%,20:01,NAN
42,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(F)=C(F)C(F)=C1,O=Cc1cc(F)c(F)c(F)c1,CC(C)(C)OC(=O)CN,98%,13:01,NAN
43,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(F)C=C(Br)C=C1,O=Cc1ccc(Br)cc1F,CC(C)(C)OC(=O)CN,99%,20:01,99%
44,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(Cl)C=C(Br)C=C1,O=Cc1ccc(Br)cc1Cl,CC(C)(C)OC(=O)CN,97%,20:01,NAN
45,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=NC=C(Cl)C=C1,O=Cc1ccc(Cl)cn1,CC(C)(C)OC(=O)CN,97%,7:01,NAN
46,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(Cl)C=NC=C1Cl,O=Cc1c(Cl)cncc1Cl,CC(C)(C)OC(=O)CN,98%,20:01,NAN
47,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(F)=C(F)C(F)=C1,O=Cc1cc(F)c(F)c(F)c1,CC(C)(C)OC(=O)CN,98%,13:01,NAN
48,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(F)C=C(Br)C=C1,O=Cc1ccc(Br)cc1F,CC(C)(C)OC(=O)CN,99%,20:01,NAN
49,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(Cl)C=C(Br)C=C1,O=Cc1ccc(Br)cc1Cl,CC(C)(C)OC(=O)CN,97%,20:01,NAN
50,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=NC=C(Cl)C=C1,O=Cc1ccc(Cl)cn1,CC(C)(C)OC(=O)CN,97%,7:01,NAN
51,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(F)C=CC=N1,O=Cc1ncccc1F,CC(C)(C)OC(=O)CN,94%,19:01,NAN
52,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(F)N=CC=C1I,O=Cc1c(I)ccnc1F,CC(C)(C)OC(=O)CN,99%,20:01,97%
53,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(C)N=C(Cl)C=C1,Cc1nc(Cl)ccc1C=O,CC(C)(C)OC(=O)CN,97%,18:01,NAN
54,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CN=C(Cl)C=C1,O=Cc1ccc(Cl)nc1,CC(C)(C)OC(=O)CN,98%,20:01,NAN
55,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=NC=C(Br)C=C1,O=Cc1ccc(Br)cn1,CC(C)(C)OC(=O)CN,96%,7:01,NAN
56,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(F)C=CC=N1,O=Cc1ncccc1F,CC(C)(C)OC(=O)CN,94%,19:01,NAN
57,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(F)N=CC=C1I,O=Cc1c(I)ccnc1F,CC(C)(C)OC(=O)CN,99%,20:01,NAN
58,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(C)N=C(Cl)C=C1,Cc1nc(Cl)ccc1C=O,CC(C)(C)OC(=O)CN,98%,18:01,NAN
59,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CN=C(Cl)C=C1,O=Cc1ccc(Cl)nc1,CC(C)(C)OC(=O)CN,98%,20:01,NAN
60,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=NC=C(Br)C=C1,O=Cc1ccc(Br)cn1,CC(C)(C)OC(=O)CN,96%,7:01,NAN
61,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C([N+]([O-])=O)C=CC=C1Cl,O=Cc1c(Cl)cccc1[N+](=O)[O-],CC(C)(C)OC(=O)CN,98%,20:01,NAN
62,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=C(Cl)C(Cl)=C1,O=Cc1cc(Cl)c(Cl)c(Cl)c1,CC(C)(C)OC(=O)CN,96%,17:01,NAN
63,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(OC)=NC=C1,COc1cc(C=O)ccn1,CC(C)(C)OC(=O)CN,98%,20:01,NAN
64,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(Cl)C=C(Cl)C=C1,O=Cc1ccc(Cl)cc1Cl,CC(C)(C)OC(=O)CN,99%,20:01,NAN
65,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(C(F)(F)F)=CC=C1Cl,O=Cc1cc(C(F)(F)F)ccc1Cl,CC(C)(C)OC(=O)CN,99%,17:01,NAN
66,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C([N+]([O-])=O)C=CC=C1Cl,O=Cc1c(Cl)cccc1[N+](=O)[O-],CC(C)(C)OC(=O)CN,98%,20:01,NAN
67,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=C(Cl)C(Cl)=C1,O=Cc1cc(Cl)c(Cl)c(Cl)c1,CC(C)(C)OC(=O)CN,96%,17:01,NAN
68,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(OC)=NC=C1,COc1cc(C=O)ccn1,CC(C)(C)OC(=O)CN,98%,20:01,99%
69,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(Cl)C=C(Cl)C=C1,O=Cc1ccc(Cl)cc1Cl,CC(C)(C)OC(=O)CN,99%,20:01,NAN
70,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(C(F)(F)F)=CC=C1Cl,O=Cc1cc(C(F)(F)F)ccc1Cl,CC(C)(C)OC(=O)CN,99%,17:01,NAN
71,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(C(F)(F)F)=CC=C1Br,O=Cc1cc(C(F)(F)F)ccc1Br,CC(C)(C)OC(=O)CN,99%,10:01,NAN
72,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CN=C(F)C=C1,O=Cc1ccc(F)nc1,CC(C)(C)OC(=O)CN,97%,20:01,NAN
73,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(F)=C(F)C=C1Cl,O=Cc1cc(F)c(F)cc1Cl,CC(C)(C)OC(=O)CN,99%,20:01,99%
74,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(F)=C(Cl)C=C1Cl,O=Cc1cc(F)c(Cl)cc1Cl,CC(C)(C)OC(=O)CN,99%,20:01,NAN
75,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=NC=C(F)C=C1,O=Cc1ccc(F)cn1,CC(C)(C)OC(=O)CN,96%,10:01,NAN
76,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(C(F)(F)F)=CC=C1Br,O=Cc1cc(C(F)(F)F)ccc1Br,CC(C)(C)OC(=O)CN,99%,12:01,NAN
77,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CN=C(F)C=C1,O=Cc1ccc(F)nc1,CC(C)(C)OC(=O)CN,98%,20:01,NAN
78,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(F)=C(F)C=C1Cl,O=Cc1cc(F)c(F)cc1Cl,CC(C)(C)OC(=O)CN,98%,20:01,NAN
79,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC(F)=C(Cl)C=C1Cl,O=Cc1cc(F)c(Cl)cc1Cl,CC(C)(C)OC(=O)CN,99%,17:01,NAN
80,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=NC=C(F)C=C1,O=Cc1ccc(F)cn1,CC(C)(C)OC(=O)CN,97%,9:01,NAN
81,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=C(F)C(Cl)=C(F)C=C1,O=Cc1ccc(F)c(Cl)c1F,CC(C)(C)OC(=O)CN,98%,20:01,99%
82,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC([N+]([O-])=O)=CC=C1C,Cc1ccc([N+](=O)[O-])cc1C=O,CC(C)(C)OC(=O)CN,83%,16:01,NAN
83,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC=C(C2=CC=NC=C2)C=C1,O=Cc1ccc(-c2ccncc2)cc1,CC(C)(C)OC(=O)CN,73%,20:01,NAN
84,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC=C(F)C(F)=C1,O=Cc1ccc(F)c(F)c1,CC(C)(C)OC(=O)CN,83%,20:01,NAN
85,O[C@H]([C@@H](N)C(OC(C)(C)C)=O)C1=CC(Cl)=C(Br)C=C1,O=Cc1ccc(Br)c(Cl)c1,CC(C)(C)OC(=O)CN,99%,20:01,NAN
86,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=C(F)C(Cl)=C(F)C=C1,O=Cc1ccc(F)c(Cl)c1F,CC(C)(C)OC(=O)CN,98%,20:01,NAN
87,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC([N+]([O-])=O)=CC=C1C,Cc1ccc([N+](=O)[O-])cc1C=O,CC(C)(C)OC(=O)CN,78%,15:01,NAN
88,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC=C(C2=CC=NC=C2)C=C1,O=Cc1ccc(-c2ccncc2)cc1,CC(C)(C)OC(=O)CN,76%,20:01,NAN
89,O[C@@H]([C@H](N)C(OC(C)(C)C)=O)C1=CC=C(F)C(F)=C1,O=Cc1ccc(F)c(F)c1,CC(C)(C)OC(=O)CN,84%,20:01,NAN
