,UMAP_1,UMAP_2
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,10.4576645,9.817258
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,3.0055993,7.7580185
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,1.42243,7.2045827
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,3.1087792,12.412337
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,2.5587332,12.694838
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,2.474246,13.249208
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.3220363,11.567743
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,10.77705,7.929151
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,6.1291766,14.748955
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,4.756403,10.836746
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,11.221838,9.043626
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,3.4245515,7.894524
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,8.960285,8.504678
C1COCCN1.Cc1ccc(CC(=O)O)cc1,4.9133573,9.809098
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,3.6679094,8.211611
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,5.137937,9.609588
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,1.6786436,9.25911
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,8.136635,10.496511
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,5.152965,12.529298
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.7165427,9.323597
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,12.481951,8.860588
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,5.2058706,12.315967
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,9.323702,10.685388
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.607806,8.335885
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,3.3750737,9.31752
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,6.3064547,14.386577
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,3.7045474,13.268869
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.285461,13.715106
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.0470744,12.618071
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,5.7015414,12.600315
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,9.820188,6.9608192
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,5.5564303,9.831566
CC(C)Nc1ccccc1.O=C(O)C1Cc2ccccc2C1,5.0178084,10.532444
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.7116386,12.229333
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,5.3857064,9.73534
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,12.514724,7.2023616
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,8.634706,8.761743
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,3.688674,8.028417
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,10.346536,9.532957
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,8.853362,8.395705
CCCNC.Cc1c(C(=O)O)oc2ccccc12,8.99551,8.333424
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,11.585713,8.450235
CCCNC.Cc1ccc(CC(=O)O)cc1,5.4200625,9.897374
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,3.913026,7.9296756
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,5.176714,9.469005
CCCNC.O=C(O)c1cc(Cl)cc(Cl)n1,12.082712,7.4398518
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,3.9305577,8.373598
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,5.043479,9.6390705
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,6.3917007,14.90458
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,5.7938814,10.681417
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,12.544737,6.3242555
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,11.792934,8.547863
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,8.945108,10.084346
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,6.04111,10.495023
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,5.956386,10.663362
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,9.636165,8.19423
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,10.185583,9.693643
CCOc1cc(N)ccn1.O=C(O)Cc1cc(F)cc(F)c1,3.9330814,13.135741
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,3.9254622,13.550454
CCc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,5.569601,11.43679
CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.968147,7.494271
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.8526063,7.4436564
CNOC.CC(C)(C(=O)O)c1ccccc1,4.7016883,7.6974735
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,6.214089,6.653274
CNOC.CC1(C)C(C(=O)O)C1(C)C,6.0423684,6.866638
CNOC.COc1ccc(C(=O)O)cc1,6.6151886,6.5909004
CNOC.COc1ccc(CC(=O)O)cc1,5.584693,7.949974
CNOC.COc1ccc2cc(C(C)C(=O)O)ccc2c1,5.216625,7.6637716
CNOC.COc1ncc(Br)cc1C(=O)O,5.695105,6.0783496
CNOC.Cc1c(C(=O)O)oc2ccccc12,7.0080705,6.5100336
CNOC.Cc1cc(C)cc(C(=O)O)c1,5.9165306,6.4274664
CNOC.Cc1cccc(C)c1C(=O)O,5.653009,6.973459
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,6.636535,6.2598033
CNOC.N#Cc1ccc(C(=O)O)cc1,7.2054195,6.0516605
CNOC.O=C(O)/C=C/c1ccccc1,7.021894,5.9944873
CNOC.O=C(O)C1C[C@H]1c1ccccc1,5.913839,7.047722
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,5.6975374,7.39938
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,5.2022266,7.79044
CNOC.O=C(O)Cc1ccc2c(c1)OCO2,5.725692,7.9812284
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,6.899564,5.819206
CNOC.O=C(O)c1cc2ccccc2o1,6.91907,6.688167
CNOC.O=C(O)c1cc2ccccc2s1,6.4579253,6.0632052
CNOC.O=C(O)c1ccc(-c2ccccc2)cc1,6.3187695,6.907506
CNOC.O=C(O)c1ccc(Br)s1,6.4009695,6.107471
CNOC.O=C(O)c1ccc(F)cn1,6.1106157,5.954947
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,6.176931,5.7837653
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.1328673,6.389835
CNOC.O=C(O)c1ccc2nccnc2c1,5.6283307,6.26875
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,6.483816,6.8587494
CNOC.O=C(O)c1ccccc1,6.6592355,5.5311956
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,6.074286,5.6094904
CNOC.O=C(O)c1ccncc1Cl,5.7230635,6.120035
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,5.93302,10.994775
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,12.550171,8.380792
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,5.785,10.642631
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,4.397085,12.690183
CNc1ccc(OC)cc1.COc1ccc(CC(=O)O)cc1,6.0587053,11.021782
CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12,9.164803,8.837663
CNc1ccc(OC)cc1.O=C(O)C(c1ccccc1)c1ccccc1,3.0532534,8.273421
CNc1ccc(OC)cc1.O=C(O)Cc1cc(F)cc(F)c1,4.4839945,12.56778
CNc1ccc(OC)cc1.O=C(O)Cc1ccc2c(c1)OCO2,5.683619,11.197815
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,11.76661,8.360603
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,12.527781,7.2114463
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,13.617007,7.8330746
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,2.8710883,8.499544
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.6273332,14.109254
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,5.1567507,13.052609
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(F)cc1C(=O)O,10.6189375,11.497093
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,11.318056,11.342026
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,2.0771239,12.263511
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,11.708626,10.746985
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,9.461838,10.156361
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)c2ccccc12,9.448099,10.19157
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,6.3603773,14.215206
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,5.652209,12.848998
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,13.390372,6.744411
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,5.1662807,10.299111
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0191067,9.32735
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.9605277,8.928738
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,2.4385376,9.9275255
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.5224624,9.119601
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,10.017448,10.612938
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,3.7088845,11.506809
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.2409143,9.346414
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,10.567507,10.530699
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,7.9700356,11.41846
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.4388714,8.889453
