,UMAP1,UMAP2
Br/C=C/c1ccc(Br)cc1,11.472148,0.9276348
Br/C=C\c1ccc(Br)cc1,11.4695835,0.9354406
Cc1cc(C(C)(C)C)cc(C)c1Br,8.915562,-1.9426751
Cc1ccc2c(Br)c(C)ccc2c1Br,10.3796835,-0.20722717
Cc1cccc(Cl)c1Br,2.0310576,3.2234378
Cc1cccc(F)c1Br,0.8422906,-2.1525722
FC(F)(F)c1cc(Cl)c(Br)c(Cl)c1,2.6781528,4.8252296
Fc1cccc(Cl)c1Br,-0.2598619,-1.4716368
Brc1c(OCc2ccccc2)ccc2ccccc12,3.2530339,-2.2944584
CC(C)(C)c1cc(C(C)(C)C)c(Br)c(C(C)(C)C)c1,8.46784,-1.8800173
Brc1c(-c2ccccc2)cc(-c2ccccc2)cc1-c1ccccc1,5.8201494,1.3125889
Brc1c(-c2ccccc2)ccc2ccccc12,7.8444514,-2.032409
Brc1c2ccccc2cc2c1ccc1ccccc12,7.7287526,-2.317956
Brc1c2ccccc2c(-c2ccc3ccccc3c2)c2ccccc12,7.5776143,-2.1950893
Brc1c2ccccc2c(-c2cccc3ccccc23)c2ccccc12,7.6286387,-2.0561721
Brc1c2ccccc2c(-c2ccccc2)c2ccccc12,7.695234,-2.329816
Brc1c2ccccc2cc2ccccc12,7.648928,-2.0940847
Cc1cc(Br)cc(C)c1C,9.289322,12.779079
Cc1cc(Br)cc(C)c1Cl,11.085735,12.230322
Cc1cc(Br)cc(C)c1F,10.235903,12.924753
Cc1cc(Br)cc(C)c1OCc1ccccc1,7.2909794,10.449046
Cc1cc(Br)cc(C)c1-c1ccccc1,8.369215,11.117683
Cc1cc(Br)cc(Cl)c1Cl,12.616999,11.322041
Cc1cc(Br)cc(F)c1C,10.734633,11.737917
Cc1c(Cl)cc(Br)cc1Cl,12.919742,11.289261
Clc1cc(Br)cc(Cl)c1Cl,12.938364,11.000303
FC(F)(F)Oc1c(Cl)cc(Br)cc1Cl,12.806504,10.512856
Cc1cc(Cl)c(Cl)cc1Br,7.720058,1.1546407
Fc1cc(Cl)c(Cl)cc1Br,-0.1691742,-1.9594566
Fc1cc(Br)cc(C(F)F)c1F,12.36119,11.38045
Fc1cc(Br)cc(Cl)c1Cl,13.030788,11.023795
Fc1cc(Br)cc(Cl)c1F,12.626799,11.688048
Cc1c(F)cc(Br)cc1F,12.272204,11.73765
Fc1cc(Br)cc(F)c1F,12.364267,11.720309
Fc1cc(Br)cc(F)c1OC(F)(F)F,13.078595,10.282098
Fc1cc(Br)cc(F)c1OCc1ccccc1,9.329525,11.33185
Cc1cc(F)c(F)cc1Br,8.464233,0.632811
Fc1cc(Br)c(OC(F)(F)F)cc1F,3.6244023,1.5221578
Fc1cc(Br)c(OCc2ccccc2)cc1F,3.4274487,-0.2760047
FC(F)(F)c1cc(Br)cc(OCC2CC2)c1,9.684288,9.080879
FC(F)(F)c1cc(Br)cc(OCc2ccccc2)c1,8.9844885,8.689264
Brc1cc(OCc2ccccc2)cc(OCc2ccccc2)c1,7.4561996,7.7886024
CC(C)(C)c1cc(Br)cc(C(C)(C)C)c1,8.138349,10.688258
CC(C)c1cc(Br)cc(C(C)C)c1,8.84879,11.421871
CC(=O)c1cc(Br)cc(C(F)(F)F)c1,12.718569,6.791979
O=C(c1cc(Br)cc(C(F)(F)F)c1)C(F)(F)F,12.36841,6.714132
CC(C)(C)OC(=O)c1cc(Br)cc(C(F)(F)F)c1,10.691539,6.4546876
FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,7.17288,3.7862449
CS(=O)(=O)c1cc(Br)cc(C(F)(F)F)c1,6.988541,3.7296765
CC(C)(C)Sc1cc(Br)cc(SC(C)(C)C)c1,7.7997565,6.7749305
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,8.850488,7.34775
FC(F)(F)c1cc(Br)cc(-c2cnco2)c1,11.47502,8.003266
FC(F)(F)c1ccc(C(F)(F)F)c(Br)c1,4.5963273,3.1319287
CC(=O)c1ccc(OCC2CC2)c(Br)c1,1.982216,0.97772205
CC(C)(C)c1ccc(OCc2ccccc2)c(Br)c1,3.169209,-0.40647718
FC(F)(F)c1ccc(OCc2ccccc2)c(Br)c1,2.8802361,0.19928622
FC(F)(F)Oc1ccc(OCc2ccccc2)c(Br)c1,3.0220802,0.00043983368
CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2Br)cc1,6.1240835,7.391833
Brc1cc2c3ccccc3c(Br)cc2c2ccccc12,11.452114,0.29043576
Brc1cc2ccc3ccccc3c2c2ccccc12,7.5191813,-1.6194584
Fc1cc(Br)cc2ccccc12,10.501159,9.194025
Brc1cc(-c2ccccc2)c2ccccc2c1,9.199291,7.2872624
Brc1cc2ccccc2c2ccccc12,7.5281496,-1.1545
CC(=O)c1cc(Br)ccc1C,12.220822,7.84468
