,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_VBur,Br1_APT_charge,Br1_ES_root_Mulliken_charge,Br1_ES_root_NPA_Rydberg,Br1_ES_root_NPA_core,Br1_Mulliken_charge,Br1_NMR_anisotropy,Br1_NMR_shift,Br1_NPA_Rydberg,Br1_NPA_core,yield
Br/C=C/c1ccc(Br)cc1,-5451.075603,0.32185214573819104,5928.807427680404,1438.482766118229,0.124226,0.22174131308079637,0.1426925119207677,0.0904924642376968,-0.23318497615846456,-0.05220004768307091,261.9434,1511.6645581882815,0.3911290429147638,0.016041023841535457,0.0221,-0.14247995231692911,1.99858,0.03909099523169291,110.29274833109251,59.5875,0.02192,-0.1221,0.6096605387277447,-0.3019765452989174,-0.04186252145738191,0.02002,27.99901,-0.10099999046338581,1059.312641349823,2225.4800540530614,0.01805,27.9991,63.90596368113261
Br/C=C\c1ccc(Br)cc1,-5451.076012,1.0059,4774.2244,1167.995,0.124537,2.1124,0.14268,0.0917,-0.23438,-0.05098,261.9434,1810.392,0.41294,0.008085,0.02206,-0.15525,1.99858,0.040953,111.0541,58.8541,0.02192,-0.11736,0.6118628067967276,-0.30097,-0.034957,0.02033,27.99899,-0.102042,1060.6876,2221.3535,0.01801,27.9991,63.90596368113261
Cc1cc(C(C)(C)C)cc(C)c1Br,-3038.391971,0.9526,4103.383,1678.335,0.275705,1.7599,0.118575,0.11517500000000001,-0.23375,-0.0034,241.1703,1815.904,0.253001,-0.071829,0.02119,-0.11105,1.99848,-0.063619,77.867,60.6554,0.01999,-0.10467,0.68313404657017,-0.273502,-0.066805,0.01772,27.99902,-0.121283,647.083,2334.5876,0.01649,27.99909,22.41517959606636
Cc1ccc2c(Br)c(C)ccc2c1Br,-5605.768539,0.0005,5519.8261,1838.182,0.197892,0.0244,0.13759,0.08544,-0.22303,-0.05215,314.019,1689.941,0.300876,-0.098335,0.02117,-0.10442,1.99848,-0.073765,75.5914,59.9787,0.0204,-0.08157,0.6798300818124606,-0.250813,-0.06508,0.01794,27.99903,-0.10108,701.8452,2335.5578,0.01658,27.99908,28.90583807766919
Cc1cccc(Cl)c1Br,-3301.607584,1.5177,1905.9083,1133.561,0.118215,2.685,0.13598500000000002,0.11597500000000001,-0.25196,-0.02001,205.4814,1555.351,0.186001,-0.014551,0.02383,-0.16387,1.99841,0.000823,84.8935,59.7551,0.0226,-0.13936,0.6780994336060415,-0.190686,-0.020651,0.01913,27.99898,-0.07464,762.4611,2252.7752,0.0176,27.99905,6.117484139755284
Cc1cccc(F)c1Br,-2941.293261,1.5422,1629.1852,1214.68,0.11944,2.4766,0.132885,0.116125,-0.24901,-0.01676,189.0268,1571.938,0.183655,-0.110501,0.02276,-0.21432,1.99849,-0.097313,83.5734,72.0688,0.02112,-0.19129,0.6658275645059786,-0.198602,-0.021456,0.02006,27.99899,-0.080432,626.3793,2391.43,0.01843,27.99906,9.288758245242867
FC(F)(F)c1cc(Cl)c(Br)c(Cl)c1,-4058.636219,1.3904,4391.6537,1669.608,0.088538,0.3198,0.166635,0.109885,-0.27652,-0.05675,293.898,1788.866,0.157414,0.041992,0.02635,-0.21245,1.99835,0.061634,90.1312,56.7662,0.02543,-0.16655,0.670862177470107,-0.136329,0.019171,0.02039,27.99895,-0.019371,846.3418,2170.6097,0.01865,27.99901,5.749715604500804
Fc1cccc(Cl)c1Br,-3361.520982,1.386,1837.4743,1114.242,0.081274,2.6258,0.14587,0.11464999999999999,-0.26052,-0.03122,209.4451,1088.918,0.122366,-0.058362,0.02497,-0.25116,1.99841,-0.042771,83.656,72.0142,0.0236,-0.22397,0.658275645059786,-0.14221,0.023239,0.02111,27.99895,-0.038786,729.8705,2329.8484,0.01934,27.99903,14.50933238910472
Brc1c(OCc2ccccc2)ccc2ccccc12,-3301.5126704827694,2.460132692400962,6022.688753104285,2374.7597961348806,0.26883122143187865,2.6668357660796502,0.1285612278212615,0.08679224234909261,-0.2153534701703541,-0.04176898547216891,313.19309999999996,1940.5661902604309,0.13244205553272215,-0.096002878617447,0.022232134145177065,-0.1359207151311025,1.998503373118738,-0.08626520777184658,68.8705749100448,71.57184632043763,0.020952253501392487,-0.14094347820825337,0.7047014875929807,-0.2094546714072858,-0.03387572053578565,0.018668223923469195,27.998956686559367,-0.08761233803414084,642.7423581000751,2432.328792384834,0.017468462635900038,27.99900502983905,0.187722782582954
CC(C)(C)c1cc(C(C)(C)C)c(Br)c(C(C)(C)C)c1,-3273.8924980010456,0.9567955361971999,6773.6752717675745,2401.3748250017134,0.4542516445747765,1.738233716110992,0.11960088594863949,0.11390778853436151,-0.233508674483001,-0.00569309741427799,325.3311,2748.5192410892087,0.23775611481672493,-0.08232663357949152,0.0196,-0.0840245179373379,1.9985399999999998,-0.07883647489010304,79.70170672696071,61.386854271264234,0.01872,-0.08562655121150292,0.7532844583508099,-0.2629680972379611,-0.056726688070759416,0.01735309741427799,27.99894,-0.11215077939439394,588.7459180313851,2303.0356339598507,0.015834422931276976,27.998999999999995,22.137646747126137
