smi,yield,type,name,ortho,meta,para,subs,TBABr
CC(=O)c1ccc(cc1)Br,90,lit,4-Ac,0,0,1,para,0
Brc1ccc(cc1)C(=O)c1ccccc1,90,lit,4-COPh,0,0,1,para,0
N#Cc1ccccc1Br,82,lit,2-CN,1,0,0,ortho,0
N#Cc1ccc(cc1)Br,80,lit,4-CN,0,0,1,para,0
BrC1=CC=C(C=O)C=C1,52,lit,4-CHO,0,0,1,para,0
O=C(OCC)C1=CC(Br)=C(C#N)C=C1,85,lit,2-CN-5-CO2Et,1,1,0,ortho,0
Brc1ccc(cc1)c1ccccc1,79,lit,4-Ph,0,0,1,para,1
BrC1=CC=C(C2(C#N)CC2)C=C1,77,lit,4-CycPr-CN,0,0,1,para,0
CC(c1ccc(cc1)Br)(C)C,78,lit,4-tBu,0,0,1,para,1
Brc1ccc(cc1)Oc1ccccc1,48,lit,4-OPh,0,0,1,para,1
O=C1CCC2=C1C=CC=C2Br,82,lit,4-indanone,1,1,0,ortho,0
O=C1CCC2=C1C=CC(=C2)Br,68,lit,5-indanone,0,1,1,meta,0
O=C1N(C)C(C2=C1C=CC(Br)=C2)=O,90,lit,N-Me-phth,0,1,1,meta,0
O=CC(O1)=CC=C1C2=CC(Br)=CC=C2,21,clustering,3-furaldehyde,0,1,0,meta,1
Fc1ccc(-c2cccc(Br)c2)cc1,49,clustering,3-Ph-F,0,1,0,meta,1
COc1cc(C)c(Br)cc1F,28,clustering,2-Me-4-OMe-5-F,1,1,1,ortho,0
COc1ccc(C#N)c(Br)c1,97,clustering,2-CN-5-OMe,1,1,0,ortho,0
O=S(=O)(c1ccc(Br)cc1)N1CCOCC1,86,clustering,4-SO2morph,0,0,1,para,0
Cc1ccc(S(C)(=O)=O)cc1Br,94,clustering,2-Me-5-SO2Me,1,1,0,ortho,0
CC(C)(C)OC(=O)N1CCN(c2ccc(Br)cc2Cl)CC1,0,clustering,3-Cl-4-piperaz,0,1,1,meta,0
N#Cc1cc(Br)ccc1F,82,clustering,3-CN-4-F,0,1,1,meta,0
COC(=O)CCC(=O)c1ccc(Br)cc1,83,clustering,4-COCCCO2Me,0,0,1,para,0
Brc1ccc(-c2c[nH]cn2)cc1,22,clustering,4-imid,0,0,1,para,1
COCc1cccc(OC)c1Br,0,clustering,2-CH2OMe-6-OMe,1,0,0,ortho,0
CC(C)(C)c1ccc(Cl)c(Br)c1,63,clustering,2-Cl-5-tBu,1,1,0,ortho,1
FC(F)(F)Oc1cc(Cl)cc(Br)c1,65,clustering,3-Cl-5-OCF3,0,1,0,meta,1
CCOC(=O)c1cccc(Br)c1C,73,clustering,2-Me-3-CO2Et,1,1,0,ortho,0
CC(C)(C)c1ccc(F)c(Br)c1,72,clustering,2-F-5-tBu,1,1,0,ortho,1
BrC1=CC=C(S(=O)(C)=O)C=C1,68,lit,4-SO2Me,0,0,1,para,0
ClC1=CC=C(Br)C=C1,82,lit,4-Cl,0,0,1,para,0
FC1=CC(Br)=CC=C1OCC(OCC)=O,34,validation,3-F-4-OCCO2Et,0,1,1,meta,0
O=C(OC)C1=C(C)C=C(Br)C=C1C,50,validation,"3,5-di-Me-4-CO2Me",0,1,1,meta,0
BrC1=CC(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=C1,12,validation,"3,5-di-Ph",0,1,0,meta,1
FC1=C(C(F)(F)F)C=C(Br)C=C1,77,validation,3-CF3-4-F,0,1,1,meta,0
BrC1=CC=CC=C1C,21,validation,2-Me,1,0,0,ortho,0
BrC1=CC=CC=C1OC(F)(F)F,68,validation,2-OCF3,1,0,0,ortho,0
BrC1=CC=CC=C1CC,24,validation,2-Et,1,0,0,ortho,1
BrC1=CC=CC=C1C(C)C,15,validation,2-iPr,1,0,0,ortho,0
BrC1=C(C(F)(F)F)C=CC=C1,51,validation,2-CF3,1,0,0,ortho,0
BrC1=C(C)C=C(C(F)(F)F)C=C1,76,validation,2-Me-4-CF3,1,0,1,ortho,0
BrC1=C(C)C=CC=C1C,11,validation,"2,6-di-Me",1,0,0,ortho,0
COc1cccc(c1Br)OC,0,validation,"2,6-di-OMe",1,0,0,ortho,0
Brc1cccc(c1)C(=O)C,70,validation,3-Ac,0,1,0,meta,0
COc1cc(OC)cc(c1)Br,38,validation,"3,5-di-OMe",0,1,0,meta,0
FC(c1ccc(cc1)Br)(F)F,64,validation,4-CF3,0,0,1,para,0
COc1ccc(cc1)Br,48,validation,4-OMe,0,0,1,para,1
COC(=O)c1cccc(c1)Br,77,validation,3-CO2Me,0,1,0,meta,0
CN(c1ccc(cc1)Br)C,0,validation,4-NMe2,0,0,1,para,0
Brc1ccccc1,47,validation,4-H,1,1,1,ortho,0
COCc1ccccc1Br,0,validation,2-CH2OMe,1,0,0,ortho,0
N#Cc1cc(C)ccc1Br,84,validation,2-CN-4-Me,1,0,1,ortho,0
COC(=O)c1ccc(cc1)Br,80,validation,4-CO2Me,0,0,1,para,0
