,UMAP1,UMAP2
C1CCC(NC2CCCCC2)CC1.CC(=O)Cl,-2.090525,7.6468964
C1CCC(NC2CCCCC2)CC1.CC(C)(C)C(=O)Cl,-5.9696736,6.937176
C1CCC(NC2CCCCC2)CC1.CC(C)(C)c1ccc(C(=O)Cl)cc1,5.8333964,5.9884114
C1CCC(NC2CCCCC2)CC1.CC(C)C(=O)Cl,-4.5060186,6.800659
C1CCC(NC2CCCCC2)CC1.CCC(C(=O)Cl)c1ccccc1,-4.579687,5.4473085
C1CCC(NC2CCCCC2)CC1.CCCCC(=O)Cl,-3.8185773,7.1524153
C1CCC(NC2CCCCC2)CC1.CCCCC(CC)C(=O)Cl,-4.219474,5.838032
C1CCC(NC2CCCCC2)CC1.CCCCCCC(=O)Cl,-3.81473,6.814103
C1CCC(NC2CCCCC2)CC1.CCCCCCCCCCCC(=O)Cl,-3.040633,5.981345
C1CCC(NC2CCCCC2)CC1.CCc1ccc(C(=O)Cl)cc1,6.116633,6.1311045
C1CCC(NC2CCCCC2)CC1.COc1cc(C(=O)Cl)cc(OC)c1OC,4.950608,5.468601
C1CCC(NC2CCCCC2)CC1.COc1ccc(C(=O)Cl)cc1,5.5301614,5.9773912
C1CCC(NC2CCCCC2)CC1.Cc1ccc(C(=O)Cl)cc1,6.249891,6.0908747
C1CCC(NC2CCCCC2)CC1.Cc1ccccc1C(=O)Cl,6.0577826,6.116951
C1CCC(NC2CCCCC2)CC1.O=C(Cl)C12CC3CC(CC(C3)C1)C2,-6.540203,6.88323
C1CCC(NC2CCCCC2)CC1.O=C(Cl)C=Cc1ccccc1,5.1720405,7.181436
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(-c2ccccc2)cc1,4.8250575,5.3065743
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(Br)cc1,7.3197603,5.791581
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(C(F)(F)F)cc1,7.6870303,5.7176995
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(Cl)cc1,6.9364953,6.21868
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(Cl)cc1Cl,8.089194,5.31394
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(F)cc1,6.662966,6.065845
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(F)cc1F,7.400229,5.4473543
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(OC(F)(F)F)cc1,6.8440437,5.6471434
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc(SC(F)(F)F)cc1,7.874988,5.4172697
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc([N+](=O)[O-])cc1,8.435984,5.849564
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccc2ccccc2c1,5.1699457,5.339351
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1cccc2ccccc12,5.041984,5.2565513
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccccc1,6.583013,5.7736917
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1ccco1,7.2398696,8.405756
C1CCC(NC2CCCCC2)CC1.O=C(Cl)c1cccs1,6.725212,7.4327483
C=Cc1ccc(N)cc1.CC(=O)Cl,-0.54473966,8.489036
C=Cc1ccc(N)cc1.CC(C)(C)C(=O)Cl,-7.131186,8.420622
C=Cc1ccc(N)cc1.CC(C)(C)c1ccc(C(=O)Cl)cc1,15.17086,12.129604
C=Cc1ccc(N)cc1.CC(C)C(=O)Cl,-5.534168,9.276531
C=Cc1ccc(N)cc1.CCC(C(=O)Cl)c1ccccc1,-5.7806196,3.6252604
C=Cc1ccc(N)cc1.CCCCC(=O)Cl,-3.2368548,9.857742
C=Cc1ccc(N)cc1.CCCCC(CC)C(=O)Cl,-4.3491693,3.6373384
C=Cc1ccc(N)cc1.CCCCCCC(=O)Cl,-2.9799972,9.482892
C=Cc1ccc(N)cc1.CCCCCCCCCCCC(=O)Cl,-1.6499612,5.630323
C=Cc1ccc(N)cc1.CCc1ccc(C(=O)Cl)cc1,14.737592,11.736786
C=Cc1ccc(N)cc1.COc1cc(C(=O)Cl)cc(OC)c1OC,19.581558,9.415087
C=Cc1ccc(N)cc1.COc1ccc(C(=O)Cl)cc1,14.648856,12.7082405
C=Cc1ccc(N)cc1.Cc1ccc(C(=O)Cl)cc1,14.320814,11.471617
C=Cc1ccc(N)cc1.Cc1ccccc1C(=O)Cl,13.442145,14.334359
C=Cc1ccc(N)cc1.O=C(Cl)C12CC3CC(CC(C3)C1)C2,-8.253765,7.0714397
C=Cc1ccc(N)cc1.O=C(Cl)C=Cc1ccccc1,3.8152006,9.142908
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(-c2ccccc2)cc1,19.442781,10.392568
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(Br)cc1,13.316513,8.886401
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(C(F)(F)F)cc1,11.630443,8.816223
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(Cl)cc1,13.574243,10.09976
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(Cl)cc1Cl,13.48374,6.2383404
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(F)cc1,13.844477,10.461922
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(F)cc1F,14.664827,7.13881
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(OC(F)(F)F)cc1,12.7618685,9.582977
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc(SC(F)(F)F)cc1,11.05904,7.7915926
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc([N+](=O)[O-])cc1,10.630518,6.407252
C=Cc1ccc(N)cc1.O=C(Cl)c1ccc2ccccc2c1,19.334099,10.338787
C=Cc1ccc(N)cc1.O=C(Cl)c1cccc2ccccc12,18.805458,11.841678
C=Cc1ccc(N)cc1.O=C(Cl)c1ccccc1,13.867032,10.94272
C=Cc1ccc(N)cc1.O=C(Cl)c1ccco1,7.404499,9.64242
