,amine_smiles,acid_smiles,rate
1,Nc1ccc(F)cc1,O=C(Cl)c1ccc(F)cc1,1.2921142450701282
3,Nc1ccccc1,O=C(Cl)c1ccc(F)cc1,1.2522770746338756
4,Cc1cc(C)c(N)c(C)c1,O=C(Cl)c1ccc(F)cc1,1.2044252573753107
5,CCCCCCCc1ccc(N)cc1,O=C(Cl)c1ccc(F)cc1,1.817767004871492
6,CC(C)c1cccc(C(C)C)c1N,O=C(Cl)c1ccc(F)cc1,1.101843606124731
7,C1CCC(NC2CCCCC2)CC1,O=C(Cl)c1ccc(F)cc1,1.218509956186261
8,CCCCCCc1ccc(N)cc1,O=C(Cl)c1ccc(F)cc1,1.8264746417233315
9,CSc1ccccc1N,O=C(Cl)c1ccc(F)cc1,1.0805253653347806
10,Nc1ccccc1-c1ccccc1,O=C(Cl)c1ccc(F)cc1,1.2657553869643257
12,CC(C)NC(C)C,O=C(Cl)c1ccc(F)cc1,1.0636259425726358
13,Nc1ccc(Br)cc1,O=C(Cl)c1ccc(F)cc1,1.0274836417663407
15,Nc1cccc2cccnc12,O=C(Cl)c1ccc(F)cc1,1.164851649748408
16,CC(=O)c1cccc(N)c1,O=C(Cl)c1ccc(F)cc1,1.0671851709751985
18,COc1ccc(C(F)(F)F)cc1N,O=C(Cl)c1ccc(F)cc1,1.0022709318594545
19,COCCOc1ccccc1N,O=C(Cl)c1ccc(F)cc1,1.6464938424872213
21,CC1CCCC(C)N1,O=C(Cl)c1ccc(F)cc1,1.0520852178173188
22,C=Cc1ccc(N)cc1,O=C(Cl)c1ccc(F)cc1,1.1363672707534083
24,Cc1cccc(N)c1,O=C(Cl)c1ccc(F)cc1,1.470832636830519
25,CC(C)NC1CCCCC1,O=C(Cl)c1ccc(F)cc1,0.8980635012860668
26,COc1ccccc1N,O=C(Cl)c1ccc(F)cc1,1.586274097840673
27,NC(c1ccccc1)(c1ccccc1)c1ccccc1,O=C(Cl)c1ccc(F)cc1,0.8485011653828017
28,Cc1cccc(C)c1N,O=C(Cl)c1ccc(F)cc1,0.7846502738000665
29,CC1CN(C(=O)OC(C)(C)C)CC(C)N1,O=C(Cl)c1ccc(F)cc1,1.2235683631981462
30,N#CCCNc1ccccc1,O=C(Cl)c1ccc(F)cc1,0.8143340044767117
31,Nc1ccccc1F,O=C(Cl)c1ccc(F)cc1,0.8800889326194261
32,COc1cccc(N)c1,O=C(Cl)c1ccc(F)cc1,1.1628270355336134
33,Nc1ccc(C(=O)c2ccccc2)cc1,O=C(Cl)c1ccc(F)cc1,0.9770964596724829
34,Nc1ccc(Oc2ccc(F)cc2)cc1,O=C(Cl)c1ccc(F)cc1,1.3386945307066747
52,Nc1ccc(F)cc1,O=C(Cl)c1ccccc1,1.312588285611738
54,Nc1ccccc1,O=C(Cl)c1ccccc1,1.2035382082960937
55,Cc1cc(C)c(N)c(C)c1,O=C(Cl)c1ccccc1,1.2339887782299857
56,CCCCCCCc1ccc(N)cc1,O=C(Cl)c1ccccc1,1.7055273278311807
57,CC(C)c1cccc(C(C)C)c1N,O=C(Cl)c1ccccc1,0.9425613296694012
58,C1CCC(NC2CCCCC2)CC1,O=C(Cl)c1ccccc1,1.0691919817071538
59,CCCCCCc1ccc(N)cc1,O=C(Cl)c1ccccc1,1.7192432632314303
60,CSc1ccccc1N,O=C(Cl)c1ccccc1,0.9309632204514595
61,Nc1ccccc1-c1ccccc1,O=C(Cl)c1ccccc1,0.9334531500496517
63,CC(C)NC(C)C,O=C(Cl)c1ccccc1,1.0452766085283072
64,Nc1ccc(Br)cc1,O=C(Cl)c1ccccc1,0.9628936387897244
66,Nc1cccc2cccnc12,O=C(Cl)c1ccccc1,1.1067616624742025
67,CC(=O)c1cccc(N)c1,O=C(Cl)c1ccccc1,1.0344337536187767
69,COc1ccc(C(F)(F)F)cc1N,O=C(Cl)c1ccccc1,1.0243384337450268
70,COCCOc1ccccc1N,O=C(Cl)c1ccccc1,1.495049651469867
72,CC1CCCC(C)N1,O=C(Cl)c1ccccc1,1.074694092747203
73,C=Cc1ccc(N)cc1,O=C(Cl)c1ccccc1,1.1463435786811749
75,Cc1cccc(N)c1,O=C(Cl)c1ccccc1,1.4043925984520433
76,CC(C)NC1CCCCC1,O=C(Cl)c1ccccc1,1.117140666422203
77,COc1ccccc1N,O=C(Cl)c1ccccc1,1.3874981217853861
78,NC(c1ccccc1)(c1ccccc1)c1ccccc1,O=C(Cl)c1ccccc1,0.9511730740743746
79,Cc1cccc(C)c1N,O=C(Cl)c1ccccc1,0.9076628249271965
80,CC1CN(C(=O)OC(C)(C)C)CC(C)N1,O=C(Cl)c1ccccc1,0.9086139136323077
81,N#CCCNc1ccccc1,O=C(Cl)c1ccccc1,0.8552381526285389
82,Nc1ccccc1F,O=C(Cl)c1ccccc1,0.8923706502854135
83,COc1cccc(N)c1,O=C(Cl)c1ccccc1,1.0561405737264316
84,Nc1ccc(C(=O)c2ccccc2)cc1,O=C(Cl)c1ccccc1,0.9083784165263511
85,Nc1ccc(Oc2ccc(F)cc2)cc1,O=C(Cl)c1ccccc1,1.4613842639416232
87,Nc1ccc(F)cc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.9030638025340028
89,Nc1ccccc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.9088330797392212
90,Cc1cc(C)c(N)c(C)c1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.9438394076863004
91,CCCCCCCc1ccc(N)cc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,1.4285596292072016
92,CC(C)c1cccc(C(C)C)c1N,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.5795847812746173
93,C1CCC(NC2CCCCC2)CC1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6102765408469427
94,CCCCCCc1ccc(N)cc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,1.4475084101275153
95,CSc1ccccc1N,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6125723326154966
96,Nc1ccccc1-c1ccccc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.557038367205222
98,CC(C)NC(C)C,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6214944173631874
99,Nc1ccc(Br)cc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.4794934918675541
101,Nc1cccc2cccnc12,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.7334540909561262
102,CC(=O)c1cccc(N)c1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.5344674105530216
104,COc1ccc(C(F)(F)F)cc1N,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.471426243159992
105,COCCOc1ccccc1N,CC(C)(C)c1ccc(C(=O)Cl)cc1,1.1665875050799814
107,CC1CCCC(C)N1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.593689997223698
108,C=Cc1ccc(N)cc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6774400883591186
110,Cc1cccc(N)c1,CC(C)(C)c1ccc(C(=O)Cl)cc1,1.0572081587616609
111,CC(C)NC1CCCCC1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.7401793267991856
112,COc1ccccc1N,CC(C)(C)c1ccc(C(=O)Cl)cc1,1.0194366387904377
113,NC(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6840178172604846
114,Cc1cccc(C)c1N,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6903005964605246
115,CC1CN(C(=O)OC(C)(C)C)CC(C)N1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6857171468092812
116,N#CCCNc1ccccc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.5487860985303848
117,Nc1ccccc1F,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.6345308142610844
118,COc1cccc(N)c1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.7966380666602614
119,Nc1ccc(C(=O)c2ccccc2)cc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,0.7718229539634089
120,Nc1ccc(Oc2ccc(F)cc2)cc1,CC(C)(C)c1ccc(C(=O)Cl)cc1,1.1448950451451592
122,Nc1ccc(F)cc1,O=C(Cl)c1ccc(F)cc1F,2.509494237018178
124,Nc1ccccc1,O=C(Cl)c1ccc(F)cc1F,2.6399324657099825
125,Cc1cc(C)c(N)c(C)c1,O=C(Cl)c1ccc(F)cc1F,2.1656023725880345
126,CCCCCCCc1ccc(N)cc1,O=C(Cl)c1ccc(F)cc1F,2.746594283961722
127,CC(C)c1cccc(C(C)C)c1N,O=C(Cl)c1ccc(F)cc1F,1.6484743257625258
128,C1CCC(NC2CCCCC2)CC1,O=C(Cl)c1ccc(F)cc1F,1.9558139377153672
129,CCCCCCc1ccc(N)cc1,O=C(Cl)c1ccc(F)cc1F,2.861562615965892
130,CSc1ccccc1N,O=C(Cl)c1ccc(F)cc1F,1.6829226545271925
131,Nc1ccccc1-c1ccccc1,O=C(Cl)c1ccc(F)cc1F,2.0392841861988047
133,CC(C)NC(C)C,O=C(Cl)c1ccc(F)cc1F,1.977088178356645
