,0
0,COC(=O)CC1CCc2cc(C3CC3)cc3[nH]c(=O)c(=O)n1c23
1,COC(=O)CC1CCc2cc(C3(c4ccc(Cl)cc4)CC3)cc3[nH]c(=O)c(=O)n1c23
2,COC(=O)CC1CCc2cc(C[C@@H]3C[C@H](C(C)=O)C3(C)C)cc3[nH]c(=O)c(=O)n1c23
3,COC(=O)CC1CCc2cc(C3CCCC3)cc3[nH]c(=O)c(=O)n1c23
4,COC(=O)CC1CCc2cc(C3CCCCC3)cc3[nH]c(=O)c(=O)n1c23
5,COC(=O)CC1CCc2cc(CO[C@@H]3C[C@H](C)CC[C@H]3C(C)C)cc3[nH]c(=O)c(=O)n1c23
6,COC(=O)CC1CCc2cc(C(C)Oc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
7,CCC(Oc1ccccc1)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
8,COC(=O)CC1CCc2cc(CCc3ccc(O)cc3)cc3[nH]c(=O)c(=O)n1c23
9,COC(=O)CC1CCc2cc(CC[C@@H](C)[C@H]3CC[C@H]4[C@@H]5[C@H](O)C[C@@H]6C[C@H](O)CC[C@]6(C)[C@H]5C[C@H](O)[C@]34C)cc3[nH]c(=O)c(=O)n1c23
10,COC(=O)CC1CCc2cc(C3CCCCCC3)cc3[nH]c(=O)c(=O)n1c23
11,COC(=O)CC1CCc2cc(COc3ccccc3Cl)cc3[nH]c(=O)c(=O)n1c23
12,COC(=O)CC1CCc2cc(COc3ccc(Cl)cc3)cc3[nH]c(=O)c(=O)n1c23
13,COCc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
14,COC(=O)CC1CCc2cc(Cc3ccccc3O)cc3[nH]c(=O)c(=O)n1c23
15,COC(=O)CC1CCc2cc(Cc3ccc(F)cc3)cc3[nH]c(=O)c(=O)n1c23
16,COC(=O)CC1CCc2cc(Cc3ccc(Cl)cc3)cc3[nH]c(=O)c(=O)n1c23
17,COC(=O)CC1CCc2cc(Cc3ccc(OC)cc3)cc3[nH]c(=O)c(=O)n1c23
18,COC(=O)CC1CCc2cc(Cc3ccc(O)cc3)cc3[nH]c(=O)c(=O)n1c23
19,COC(=O)CC1CCc2cc(Cc3ccc(C(F)(F)F)cc3)cc3[nH]c(=O)c(=O)n1c23
20,CCCCc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
21,COC(=O)CC1CCc2cc(CCCCCNC(C)=O)cc3[nH]c(=O)c(=O)n1c23
22,COC(=O)CC1CCc2cc(CCCc3cccs3)cc3[nH]c(=O)c(=O)n1c23
23,COC(=O)CC1CCc2cc(CN3C(=O)c4ccccc4C3=O)cc3[nH]c(=O)c(=O)n1c23
24,COC(=O)CC1CCc2cc(C(CCSC)NC(C)=O)cc3[nH]c(=O)c(=O)n1c23
25,COC(=O)CC1CCc2cc(C3C(C)(C)C3(C)C)cc3[nH]c(=O)c(=O)n1c23
26,COC(=O)CC1CCc2cc(C3CC[C@@H]4CCC[C@H]34)cc3[nH]c(=O)c(=O)n1c23
27,COC(=O)CC1CCc2cc(C3CC(=O)N(C)C3)cc3[nH]c(=O)c(=O)n1c23
28,COC(=O)CC1CCc2cc(COc3ccccc3OC)cc3[nH]c(=O)c(=O)n1c23
29,COC(=O)CC1CCc2cc(COc3ccccc3C)cc3[nH]c(=O)c(=O)n1c23
30,COC(=O)CC1CCc2cc(COc3ccc(C)cc3C)cc3[nH]c(=O)c(=O)n1c23
31,COC(=O)CC1CCc2cc(COc3cc(C)ccc3C)cc3[nH]c(=O)c(=O)n1c23
32,COC(=O)CC1CCc2cc(COc3cccc(OC)c3)cc3[nH]c(=O)c(=O)n1c23
33,COC(=O)CC1CCc2cc(COc3ccc(OC)cc3)cc3[nH]c(=O)c(=O)n1c23
34,COC(=O)CC1CCc2cc(COc3ccc(OCc4ccccc4)cc3)cc3[nH]c(=O)c(=O)n1c23
35,COC(=O)CC1CCc2cc(COc3ccc(O)cc3)cc3[nH]c(=O)c(=O)n1c23
36,CCc1ccc(OCc2cc3c4c(c2)[nH]c(=O)c(=O)n4C(CC(=O)OC)CC3)cc1
37,CCCCCCCCC#CCCCCCCCc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
38,COC(=O)CC1CCc2cc(COc3cccc(Cl)c3)cc3[nH]c(=O)c(=O)n1c23
39,COC(=O)CC1CCc2cc(COc3cccc(C=O)c3)cc3[nH]c(=O)c(=O)n1c23
40,COC(=O)CC1CCc2cc(C(Cc3ccccc3)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
41,COC(=O)CC1CCc2cc(CC(C)c3ccc(Cl)cc3)cc3[nH]c(=O)c(=O)n1c23
42,COC(=O)CC1CCc2cc(CNC(=O)Cc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
43,COC(=O)CC1CCc2cc(COc3ccc(C(C)(C)C)cc3)cc3[nH]c(=O)c(=O)n1c23
44,COC(=O)CC1CCc2cc(C3CCCO3)cc3[nH]c(=O)c(=O)n1c23
45,COC(=O)CC1CCc2cc(CSc3nc4ccccc4[nH]3)cc3[nH]c(=O)c(=O)n1c23
46,COC(=O)CC1CCc2cc(CCCSc3nc4ccccc4s3)cc3[nH]c(=O)c(=O)n1c23
47,COC(=O)CC1CCc2cc(CCN3C(=O)c4ccccc4C3=O)cc3[nH]c(=O)c(=O)n1c23
48,COC(=O)CC1CCc2cc(C3CCOCC3)cc3[nH]c(=O)c(=O)n1c23
49,COC(=O)CC1CCc2cc(CN(C)S(=O)(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
50,COC(=O)CC1CCc2cc(CSc3ccc(C)cc3)cc3[nH]c(=O)c(=O)n1c23
51,COC(=O)CC1CCc2cc(C(Cc3ccc(O)cc3)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
52,COC(=O)CC1CCc2cc(CCNC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
53,COC(=O)CC1CCc2cc(C3CCCN3C(=O)[C@H](C)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
54,COC(=O)CC1CCc2cc(C3C[C@@H](O)CN3C(C)=O)cc3[nH]c(=O)c(=O)n1c23
55,COC(=O)CC1CCc2cc(C3CCCN3C(=O)CNC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
56,COC(=O)CC1CCc2cc(C3N(C(=O)OC(C)(C)C)CSC3(C)C)cc3[nH]c(=O)c(=O)n1c23
57,COC(=O)CC1CCc2cc(C(NC(=O)OC(C)(C)C)[C@H](C)O)cc3[nH]c(=O)c(=O)n1c23
58,COC(=O)CC1CCc2cc(C(Cc3cn(C=O)c4ccccc34)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
59,COC(=O)CC1CCc2cc(C(CC(N)=O)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
60,COC(=O)CC1CCc2cc(C(Cc3ccc(OC(C)=O)cc3)NC(C)=O)cc3[nH]c(=O)c(=O)n1c23
61,COC(=O)CC1CCc2cc(C(NC(=O)OC(C)(C)C)C(C)C)cc3[nH]c(=O)c(=O)n1c23
62,COC(=O)CC1CCc2cc(C(CC(C)C)N(C)C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
63,COC(=O)CC1CCc2cc(C(Cc3ccccc3)N(C)C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
64,COC(=O)CC1CCc2cc(Cc3ccc(C(C)C)cc3)cc3[nH]c(=O)c(=O)n1c23
65,COC(=O)CC1CCc2cc(C3CCC(C(C)(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23
66,COC(=O)CC1CCc2cc(CCCCCCC(C)C)cc3[nH]c(=O)c(=O)n1c23
67,COC(=O)CC1CCc2cc(C3CCc4ccccc4O3)cc3[nH]c(=O)c(=O)n1c23
68,COC(=O)CC1CCc2cc(CCOc3cccc(OC)c3)cc3[nH]c(=O)c(=O)n1c23
69,COC(=O)CC1CCc2cc(CNC(=O)CNC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
70,COC(=O)CC1CCc2cc(Cn3ccc4ccccc43)cc3[nH]c(=O)c(=O)n1c23
71,COC(=O)CC1CCc2cc(COc3ccc(OC(F)(F)F)cc3)cc3[nH]c(=O)c(=O)n1c23
72,COC(=O)CC1CCc2cc(CNC(=O)[C@H](CCC(N)=O)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
73,COC(=O)CC1CCc2cc(CCC(=O)c3ccc(-c4ccccc4)cc3)cc3[nH]c(=O)c(=O)n1c23
74,COC(=O)CC1CCc2cc(Cc3c(C)n(C(=O)c4ccc(Cl)cc4)c4ccc(OC)cc34)cc3[nH]c(=O)c(=O)n1c23
75,COC(=O)CC1CCc2cc(COc3ccc(C=O)c(OC)c3)cc3[nH]c(=O)c(=O)n1c23
76,COC(=O)CC1CCc2cc(C(Cc3cccs3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
77,COC(=O)CC1CCc2cc(C(C)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
78,COC(=O)CC1CCc2cc(C(C)NC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
79,COC(=O)CC1CCc2cc(C(CO)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
80,COC(=O)CC1CCc2cc(C(CO)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
81,COC(=O)CC1CCc2cc(C3CCCN3C(C)=O)cc3[nH]c(=O)c(=O)n1c23
82,COC(=O)CC1CCc2cc(CCCCCCNC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
83,CCCCCCCC/C=C\CCCCCCCc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
84,COC(=O)CC1CCc2cc(C(CCC(N)=O)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
85,COC(=O)CC1CCc2cc(C(Cc3ccc(OC(C)(C)C)cc3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
86,COC(=O)CC1CCc2cc(C(Cc3c[nH]c4ccccc34)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
87,COC(=O)CC1CCc2cc(C(Cc3cn(Cc4ccccc4)cn3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
88,COC(=O)CC1CCc2cc(Cc3cccnc3)cc3[nH]c(=O)c(=O)n1c23
89,COC(=O)CC1CCc2cc(CC[C@@H](C)[C@H]3CC[C@H]4[C@@H]5C(=O)C[C@@H]6CC(=O)CC[C@]6(C)[C@H]5CC(=O)[C@]34C)cc3[nH]c(=O)c(=O)n1c23
90,COC(=O)CC1CCc2cc(CSCCS(=O)(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
91,COC(=O)CC1CCc2cc(C[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cc3[nH]c(=O)c(=O)n1c23
92,COC(=O)CC1CCc2cc(C3CCCC(C)C3)cc3[nH]c(=O)c(=O)n1c23
93,COC(=O)CC1CCc2cc(C3CCCC(OC)C3)cc3[nH]c(=O)c(=O)n1c23
94,COC(=O)CC1CCc2cc(C3CCOC3)cc3[nH]c(=O)c(=O)n1c23
95,COC(=O)CC1CCc2cc(CCCCCCCCCCNC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
96,COC(=O)CC1CCc2cc(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OC)cc3[nH]c(=O)c(=O)n1c23
97,COC(=O)CC1CCc2cc(C3CCCN3C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc3[nH]c(=O)c(=O)n1c23
98,COC(=O)CC1CCc2cc(C3CCN(C(=O)OC(C)(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23
99,CCC(NC(=O)OCc1ccccc1)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
100,COC(=O)CC1CCc2cc(C(CCCNC(=N)NS(=O)(=O)c3ccc(C)cc3)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
101,COC(=O)CC1CCc2cc(C(Cc3cccnc3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
102,COC(=O)CC1CCc2cc(C[C@H](NC(C)=O)C(=O)OC)cc3[nH]c(=O)c(=O)n1c23
103,COC(=O)CC1CCc2cc(C(C)O[C@H]3[C@H](O)[C@@H](CO)O[C@H](O)[C@@H]3NC(C)=O)cc3[nH]c(=O)c(=O)n1c23
104,COC(=O)CC1CCc2cc(C3CC(=O)N(Cc4cccs4)C3)cc3[nH]c(=O)c(=O)n1c23
