,bromide_E,bromide_ES_root_dipole,bromide_ES_root_electronic_spatial_extent,bromide_dipole,bromide_electronegativity,acid_E,acid_ES_root_dipole,acid_ES_root_electronic_spatial_extent,acid_ES_root_molar_volume,acid_E_thermal_correction,acid_dipole,acid_electronegativity,acid_hardness,acid_homo_energy,acid_lumo_energy,acid_molar_mass,acid_C1_APT_charge,acid_C1_ES_root_Mulliken_charge,acid_C1_ES_root_NPA_Rydberg,acid_C1_ES_root_NPA_charge,acid_C1_ES_root_NPA_core,acid_C1_NMR_anisotropy,acid_C1_NMR_shift,acid_C1_NPA_core,acid_C1_VBur,acid_C2_APT_charge,acid_C2_ES_root_Mulliken_charge,acid_C2_ES_root_NPA_Rydberg,acid_C2_ES_root_NPA_charge,acid_C2_ES_root_NPA_core,acid_C2_Mulliken_charge,acid_C2_NMR_anisotropy,acid_C2_NMR_shift,acid_C2_NPA_Rydberg,acid_C2_NPA_charge,acid_C2_VBur,acid_O1_APT_charge,acid_O1_ES_root_Mulliken_charge,acid_O1_ES_root_NPA_Rydberg,acid_O1_Mulliken_charge,acid_O1_NMR_anisotropy,acid_O1_NMR_shift,acid_O1_NPA_Rydberg,acid_O1_NPA_charge,acid_O1_NPA_core,acid_O1_VBur,acid_O2_APT_charge,acid_O2_ES_root_Mulliken_charge,acid_O2_ES_root_NPA_Rydberg,acid_O2_ES_root_NPA_charge,acid_O2_ES_root_NPA_core,acid_O2_Mulliken_charge,acid_O2_NMR_anisotropy,acid_O2_NMR_shift,acid_O2_NPA_Rydberg,acid_O2_NPA_charge,acid_O2_NPA_core,acid_O2_VBur,yield
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.C#CCCCCCCC(=O)O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-500.7989878564375,0.761857530155974,2861.420520883052,1536.2870029681064,0.2281278608610381,1.362736447794603,0.1313501091887668,0.1432967413263619,-0.2746468505151287,0.011946632137595,154.2084,-0.0620844089043505,-0.0118295396116101,0.0144619814348984,-0.4939137998258802,1.999110206532112,35.76349767577661,162.99563478561691,1.9990595460681089,0.5593170534354536,1.1064838835872457,0.0037042068648415,0.0499772578505353,0.5199688420781438,1.9993828595730891,0.162022656322748,97.3748453062912,25.77204485228407,0.0555029970341942,0.8619794902219524,0.5299294989420618,-0.7171452652670699,-0.0904826845760573,0.0132895032582221,-0.2463891287413909,553.5429309865004,-65.57265668273057,0.0103895670519614,-0.6189175295327087,1.999708826559878,0.4090857411147772,-0.7183357976392014,-0.1927688643256225,0.0107032260536888,-0.66482988990561,1.9997115708219035,-0.2028549949396229,189.07745364464373,146.2707830085626,0.0102212666913502,-0.7081302306801943,1.9996836487705052,0.3704621054728248,3.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.C=CC[C@H](CC(=O)O)NC(=O)OC(C)(C)C,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-784.7998171400853,2.130126115175124,4720.99119808641,2052.31281573884,0.3166994594530193,2.6204118522831927,0.1293326567587612,0.1306950952226118,-0.2600277519813731,0.0013624384638505,229.2754,-0.141173252225107,0.0446036094864189,0.016614586622791,-0.5076421021974016,1.9990820471630408,37.77759532454843,157.27009466841926,1.9990213123735137,0.5992028896493145,1.1243781241942172,0.0004264766661682,0.0514647423763653,0.5188987374056236,1.9993773201415117,0.1638508347993768,98.3281326472303,26.15191693101641,0.0558785757528546,0.8639540292094925,0.5364998506357975,-0.7264188645535911,-0.120845011749391,0.0134238740825474,-0.245985353478606,542.2473044093085,-69.16111427424826,0.0104232397190855,-0.6174708049154314,1.999706804711008,0.4048987319083308,-0.7218795279693734,-0.2027647628564328,0.0107235183565265,-0.6785313164069116,1.9997103152633573,-0.2026611674906517,183.9274346763561,145.37057675205477,0.010238414715101,-0.7096322114011632,1.999682698080896,0.3890748447066428,3.4
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)CCc1ccc(OCC(=O)O)cc1,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-765.1923347385616,3.08831079604355,5928.587571447186,1760.0339592647272,0.2584548190760135,3.208341742365927,0.1222836461565592,0.1067307933302393,-0.2290144394867986,-0.0155528528263199,222.2402,0.4523772560269513,0.1545403965008995,0.0226406874159125,-0.1760612448915736,1.9990512050145328,57.22566982638322,131.6886730295604,1.9990512050145328,0.5308991436441044,1.109467148659634,0.1236715835613559,0.0539344635149578,0.8248926513601758,1.9994115127432264,0.1232811856523276,91.94554098725769,29.246861777902744,0.053970659235147,0.8251337530649162,0.5259477253972861,-0.7200969986438646,-0.2246503623046852,0.0112540883770701,-0.2255915447352974,562.5370765013458,-65.92667592502974,0.0112534370018696,-0.595548484363237,1.9997106513752008,0.3906959692696791,-0.7239355808124457,-0.1969606228928748,0.0107533146200295,-0.7027287657038106,1.9996815127432264,-0.1973067655129577,171.03728626881426,153.25187755773464,0.0107562597110803,-0.7030772583167058,1.9996815127432264,0.3833839751291937,33.6
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)N1CCCC1C(=O)O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-552.8045338136044,3.887531085758849,1624.9180162435623,1370.424691112428,0.1940381015824198,4.285228438332855,0.1190160562657026,0.1307031203358416,-0.2497191766015443,0.011687064070139,157.16880000000003,0.20614065424795,-0.0036489762402278,0.0276627161161716,-0.1296846596726753,1.9990189029241312,30.92799146724343,135.51781608160098,1.9990007516432189,0.6965092331135753,1.0607244026654132,0.1223997100183681,0.0594606896328955,0.6927678538943075,1.9993176853383516,0.2125256008719106,97.94904579265588,24.62582096487933,0.0607354981962111,0.8594541504800727,0.590612405871337,-0.7113744762739852,-0.224626461302253,0.0124654511368842,-0.2397536559251358,530.668639779546,-48.421466924468135,0.010798155647148,-0.6135804296020725,1.9997,0.4202271028077581,-0.683414575406486,-0.2121675557296226,0.0106320961826144,-0.713487669259931,1.999683181146909,-0.1954547325760844,170.48916887591986,150.44551713325612,0.0103879496116489,-0.7050278506571275,1.9996743937156365,0.4260745487074349,19.7
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-627.901673732228,3.19848938746473,1988.318110458596,1472.9263161441716,0.1995147553973796,3.7119684572416336,0.1208592678353105,0.131151260838846,-0.2520105286741566,0.0102919930035354,173.1682,0.2141968743893073,0.0064521016856379,0.0276764302299706,-0.1335824365031982,1.999021153156277,32.55133036417368,137.02280612885653,1.9990053518389388,0.699991163567417,1.079390813100214,0.1313410024650144,0.0601322644187752,0.7265664840595498,1.9993106529629792,0.2086716213724409,98.25717712913465,24.56883385215669,0.060946809764673,0.8605707531193056,0.5909743388196662,-0.7156255632289386,-0.2343874631652333,0.0121427656771503,-0.2406912549066879,528.0374708103409,-45.14824277564826,0.0107914107252449,-0.6149859249641629,1.9997,0.4229797261750724,-0.688953594364994,-0.2068141127559912,0.0106876341948456,-0.7113720224670159,1.9996803874130324,-0.1928586292050861,169.60836418564617,150.1928854023099,0.0104040893353563,-0.7024191228794161,1.9996738914626084,0.4196833047672443,15.5
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)NCCCCCC(=O)O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-593.2116422100628,2.357644062059469,3504.7224235100207,1515.5540256536833,0.2468300250165214,3.307620587968773,0.1216606163141478,0.1345498619144296,-0.2562104782285774,0.0128892456002817,173.21140000000003,-0.061976215314348,-0.055277345223879,0.0142826771169001,-0.5425781598238911,1.9990656901814856,37.29438610903632,160.31016372430818,1.999056206545677,0.5512222834698073,1.1149069420384845,0.1302622851562615,0.0544951153888857,0.803221778377615,1.9993496572603973,0.156097738283688,98.87159083846336,25.341309076971555,0.0554646300569291,0.8606028668450489,0.5226794755527635,-0.7234554685605955,-0.2179843295368931,0.0110743472663119,-0.2444693295239488,547.6271372939416,-69.16504663238283,0.0104730847560331,-0.6157969540710541,1.9997079013625532,0.3859397070366854,-0.7184610040294892,-0.200920950691212,0.0103812033859721,-0.703023011820366,1.9996928902755275,-0.2023077779493843,186.18172190598227,146.80386134747403,0.0102957895827258,-0.7101366444242915,1.9996872000940424,0.3864180814160138,4.7
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)NCCCC[C@H](NC(C)=O)C(=O)O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-800.8646386296781,7.958385298169369,3793.790094503288,1886.310791872674,0.3071360054108885,4.888852494454228,0.1219783407102564,0.1148505115718363,-0.2368288522820928,-0.00712782913842,230.26320000000004,0.1372856393530284,0.0209441345179694,0.0292642762952625,-0.1278262411414371,1.9989313166559053,29.266126605194213,141.96208213191656,1.9988631527292813,0.7536761812665235,1.0978697223518912,0.0043951701363199,0.0586264117272284,0.5384263829347675,1.9993193508154643,0.2113678361147694,97.8996145540938,25.84438761376923,0.0563359675911631,0.8685891500075437,0.5606970298453465,-0.7236800215361394,-0.3969432323337,0.011695936208437,-0.2259281679109584,523.5410317335793,-57.97992554147758,0.0108243433920164,-0.6031050305910495,1.9997002272821776,0.4125842230395871,-0.7223472986784836,-0.2853029517703621,0.0104448933880403,-0.7872718713609261,1.999699468848552,-0.2124339921016919,165.83362971161822,152.24911214424333,0.0102021122815479,-0.7186802729849365,1.9996799791248805,0.4099294903859858,13.1
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)N[C@@H](Cc1ccc(OC(C)=O)cc1)C(=O)O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-933.6471361780572,1.3333371470300108,6866.200323550322,2138.098148393278,0.289330553561925,3.297801957455847,0.132373164385719,0.1128151631680365,-0.2451883275537555,-0.0195580012176825,265.2652,0.1976744860650282,-0.0243745199857386,0.0251864319955507,-0.1399703770186921,1.9989631217501524,29.09241153530542,139.522134662221,1.998967593669886,0.7054200823993066,1.1446331388565951,0.1902797966059544,0.0567233342810205,0.8491235024379968,1.9992837027914232,0.1986108581511611,97.74640903192532,24.8856003696948,0.0564971900584589,0.8659932310965495,0.5534301399022492,-0.7587588686363529,-0.2514755232108531,0.0107755277354676,-0.2451118572349414,530.5656733726534,-44.45556542706613,0.010645010929009,-0.62046142799567,1.999709799473123,0.3934240393856472,-0.6956780155113647,-0.1832608872711653,0.0104563617768482,-0.6980124259810817,1.999674152321133,-0.1800268786428877,158.7262883165979,152.39709105425032,0.0103587856589667,-0.6951635363402081,1.999674152321133,0.4248668634127784,20.6
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)N[C@@H]1[C@@H](O[C@H](C)C(=O)O)[C@H](O)[C@@H](CO)O[C@@H]1O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-1085.2205995367951,2.988650042599733,5514.225468397263,2169.28250567166,0.3427263725613569,3.5928180450952785,0.1275985221259004,0.1293964262581438,-0.2569949483840442,0.0017979041322433,293.2730000000001,0.4162535702696125,0.089971746422835,0.0278953842600928,0.0413804835318153,1.9989199826755075,53.903534622693485,120.53501628487648,1.9988899956710109,0.6718883295629294,1.032808590094621,-0.0277060897906193,0.0556112386406196,0.4876952444955874,1.999329995679434,0.1371713680436546,99.14812357184849,23.315785757848044,0.0580252208649307,0.836907866332017,0.5772752373937855,-0.7229149180907811,-0.145891927624917,0.0142884409115945,-0.2334626992104896,539.9326286984212,-62.198266386879,0.0108991255852981,-0.6057831289883825,1.9997099956681543,0.3768473408400349,-0.6804217338427316,-0.2086311409210658,0.0113559551435478,-0.7014735770399408,1.999709943456304,-0.1974316028497799,166.554991208662,144.16355233636918,0.0112063641682972,-0.7158772812819936,1.9996800000028232,0.5630129731815138,4.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C.CC(=O)OC(C)C(=O)O,-3943.8919193168526,6.507721907518023,12911.462626142613,2.946679256258766,0.1463032497799533,-495.3843541133607,2.041622513689951,1214.4584522420023,1152.704354105489,0.1433980691974423,1.944950815081104,0.1422966805745477,0.1458668947788521,-0.2881635753533998,0.0035702142043044,132.1158,0.4223640841766688,0.083377806721007,0.0270981118331253,0.0412160943917651,1.998936542179663,42.16087113655958,125.29106942432624,1.9989174066347477,0.6391247587295021,1.0705984887993607,0.0286292648578768,0.0531266882124142,0.5361099937258287,1.9993582710898317,0.1650553502165003,97.10460828039145,26.59099441231598,0.0579967981076107,0.8442329383265751,0.5713772709420898,-0.7188506686332656,-0.1064128550541337,0.0138928833789768,-0.2366048812358702,533.6703296960684,-49.16884568448071,0.0109240663474734,-0.6067842596899564,1.9997100000000003,0.3856466557012165,-0.6796734193795385,-0.1871573595645976,0.0106703734610106,-0.6671343813265753,1.999698271089832,-0.1920145310418902,158.79242551178731,153.237241423821,0.0105787620839051,-0.7013730085499064,1.99968,0.439962195563738,24.6
