,bromide_E,bromide_ES_root_dipole,bromide_ES_root_electronic_spatial_extent,bromide_dipole,bromide_electronegativity,acid_E,acid_ES_root_dipole,acid_ES_root_electronic_spatial_extent,acid_ES_root_molar_volume,acid_E_thermal_correction,acid_dipole,acid_electronegativity,acid_hardness,acid_homo_energy,acid_lumo_energy,acid_molar_mass,acid_C1_APT_charge,acid_C1_ES_root_Mulliken_charge,acid_C1_ES_root_NPA_Rydberg,acid_C1_ES_root_NPA_charge,acid_C1_ES_root_NPA_core,acid_C1_NMR_anisotropy,acid_C1_NMR_shift,acid_C1_NPA_core,acid_C1_VBur,acid_C2_APT_charge,acid_C2_ES_root_Mulliken_charge,acid_C2_ES_root_NPA_Rydberg,acid_C2_ES_root_NPA_charge,acid_C2_ES_root_NPA_core,acid_C2_Mulliken_charge,acid_C2_NMR_anisotropy,acid_C2_NMR_shift,acid_C2_NPA_Rydberg,acid_C2_NPA_charge,acid_C2_VBur,acid_O1_APT_charge,acid_O1_ES_root_Mulliken_charge,acid_O1_ES_root_NPA_Rydberg,acid_O1_Mulliken_charge,acid_O1_NMR_anisotropy,acid_O1_NMR_shift,acid_O1_NPA_Rydberg,acid_O1_NPA_charge,acid_O1_NPA_core,acid_O1_VBur,acid_O2_APT_charge,acid_O2_ES_root_Mulliken_charge,acid_O2_ES_root_NPA_Rydberg,acid_O2_ES_root_NPA_charge,acid_O2_ES_root_NPA_core,acid_O2_Mulliken_charge,acid_O2_NMR_anisotropy,acid_O2_NMR_shift,acid_O2_NPA_Rydberg,acid_O2_NPA_charge,acid_O2_NPA_core,acid_O2_VBur,yield
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C#CCCCCCCC(=O)O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-500.7989878564375,0.761857530155974,2861.4205208830517,1536.2870029681064,0.22812786086103812,1.3627364477946027,0.13135010918876688,0.1432967413263619,-0.27464685051512877,0.011946632137595004,154.2084,-0.06208440890435051,-0.011829539611610118,0.014461981434898423,-0.49391379982588024,1.9991102065321116,35.76349767577661,162.99563478561691,1.9990595460681087,0.5593170534354536,1.1064838835872457,0.0037042068648415667,0.04997725785053539,0.5199688420781438,1.9993828595730894,0.16202265632274804,97.3748453062912,25.77204485228407,0.055502997034194236,0.8619794902219524,0.5299294989420618,-0.7171452652670699,-0.09048268457605732,0.013289503258222177,-0.2463891287413909,553.5429309865004,-65.57265668273057,0.01038956705196141,-0.6189175295327087,1.9997088265598781,0.40908574111477725,-0.7183357976392014,-0.19276886432562254,0.010703226053688803,-0.66482988990561,1.9997115708219035,-0.20285499493962295,189.07745364464373,146.2707830085626,0.010221266691350291,-0.7081302306801943,1.9996836487705054,0.3704621054728248,16.4
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C=CC[C@H](CC(=O)O)NC(=O)OC(C)(C)C,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-784.7998171400853,2.130126115175124,4720.99119808641,2052.3128157388396,0.31669945945301936,2.6204118522831927,0.12933265675876124,0.13069509522261183,-0.2600277519813731,0.001362438463850597,229.2754,-0.14117325222510707,0.044603609486418984,0.016614586622791014,-0.5076421021974016,1.9990820471630406,37.77759532454843,157.27009466841926,1.9990213123735139,0.5992028896493145,1.1243781241942172,0.0004264766661682814,0.05146474237636531,0.5188987374056236,1.9993773201415113,0.16385083479937684,98.3281326472303,26.15191693101641,0.05587857575285462,0.8639540292094925,0.5364998506357975,-0.7264188645535911,-0.120845011749391,0.013423874082547436,-0.24598535347860603,542.2473044093085,-69.16111427424826,0.010423239719085561,-0.6174708049154314,1.9997068047110076,0.40489873190833087,-0.7218795279693734,-0.2027647628564328,0.010723518356526534,-0.6785313164069116,1.9997103152633575,-0.20266116749065177,183.92743467635614,145.37057675205477,0.010238414715101039,-0.7096322114011632,1.999682698080896,0.3890748447066428,18.9
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)CCc1ccc(OCC(=O)O)cc1,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-765.1923347385616,3.08831079604355,5928.587571447186,1760.0339592647272,0.2584548190760135,3.208341742365927,0.12228364615655926,0.10673079333023934,-0.22901443948679862,-0.015552852826319918,222.2402,0.45237725602695134,0.15454039650089957,0.02264068741591256,-0.1760612448915736,1.9990512050145326,57.22566982638322,131.6886730295604,1.9990512050145326,0.5308991436441044,1.1094671486596341,0.1236715835613559,0.05393446351495787,0.8248926513601758,1.9994115127432264,0.12328118565232762,91.94554098725767,29.246861777902744,0.05397065923514707,0.8251337530649162,0.5259477253972861,-0.7200969986438646,-0.2246503623046852,0.011254088377070114,-0.22559154473529744,562.5370765013458,-65.92667592502974,0.011253437001869655,-0.595548484363237,1.9997106513752008,0.3906959692696791,-0.7239355808124457,-0.1969606228928748,0.010753314620029595,-0.7027287657038106,1.9996815127432264,-0.19730676551295773,171.03728626881426,153.25187755773464,0.010756259711080384,-0.7030772583167058,1.9996815127432264,0.38338397512919375,75.1
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N1CCCC1C(=O)O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-552.8045338136044,3.8875310857588485,1624.9180162435625,1370.424691112428,0.19403810158241988,4.285228438332855,0.11901605626570262,0.13070312033584167,-0.2497191766015443,0.01168706407013905,157.16880000000003,0.20614065424795,-0.0036489762402278332,0.027662716116171687,-0.12968465967267534,1.9990189029241312,30.92799146724343,135.51781608160098,1.9990007516432187,0.6965092331135753,1.0607244026654132,0.12239971001836811,0.05946068963289558,0.6927678538943075,1.9993176853383514,0.21252560087191066,97.94904579265588,24.62582096487933,0.060735498196211136,0.8594541504800727,0.590612405871337,-0.7113744762739852,-0.22462646130225303,0.012465451136884291,-0.2397536559251358,530.668639779546,-48.421466924468135,0.010798155647148058,-0.6135804296020725,1.9997,0.42022710280775816,-0.683414575406486,-0.21216755572962262,0.010632096182614443,-0.713487669259931,1.9996831811469091,-0.19545473257608442,170.48916887591986,150.44551713325612,0.010387949611648966,-0.7050278506571275,1.9996743937156363,0.4260745487074349,68.8
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-627.901673732228,3.19848938746473,1988.3181104585956,1472.9263161441716,0.19951475539737962,3.7119684572416336,0.12085926783531058,0.13115126083884604,-0.25201052867415663,0.010291993003535446,173.1682,0.2141968743893073,0.0064521016856379405,0.027676430229970683,-0.1335824365031982,1.999021153156277,32.55133036417368,137.02280612885653,1.9990053518389388,0.699991163567417,1.0793908131002141,0.13134100246501443,0.06013226441877524,0.7265664840595498,1.9993106529629792,0.2086716213724409,98.25717712913465,24.56883385215669,0.06094680976467302,0.8605707531193056,0.5909743388196662,-0.7156255632289386,-0.2343874631652333,0.01214276567715033,-0.2406912549066879,528.0374708103409,-45.14824277564826,0.010791410725244971,-0.6149859249641629,1.9997,0.4229797261750724,-0.688953594364994,-0.2068141127559912,0.010687634194845665,-0.7113720224670159,1.9996803874130324,-0.19285862920508612,169.60836418564617,150.1928854023099,0.010404089335356359,-0.7024191228794161,1.9996738914626084,0.41968330476724436,34.0
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)NCCCCCC(=O)O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-593.2116422100628,2.357644062059469,3504.7224235100207,1515.5540256536833,0.2468300250165214,3.3076205879687732,0.12166061631414785,0.13454986191442964,-0.25621047822857745,0.01288924560028179,173.21140000000003,-0.06197621531434801,-0.05527734522387903,0.01428267711690015,-0.5425781598238911,1.9990656901814856,37.294386109036324,160.31016372430818,1.999056206545677,0.5512222834698073,1.1149069420384845,0.13026228515626154,0.05449511538888578,0.803221778377615,1.9993496572603973,0.15609773828368806,98.87159083846336,25.341309076971555,0.05546463005692917,0.8606028668450489,0.5226794755527635,-0.7234554685605955,-0.21798432953689312,0.011074347266311919,-0.24446932952394887,547.6271372939416,-69.16504663238283,0.010473084756033188,-0.6157969540710541,1.9997079013625534,0.3859397070366854,-0.7184610040294892,-0.20092095069121202,0.010381203385972178,-0.703023011820366,1.9996928902755275,-0.20230777794938434,186.18172190598227,146.80386134747403,0.01029578958272582,-0.7101366444242915,1.9996872000940422,0.38641808141601386,62.4
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)NCCCC[C@H](NC(C)=O)C(=O)O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-800.8646386296781,7.958385298169369,3793.7900945032875,1886.310791872674,0.30713600541088854,4.888852494454228,0.12197834071025643,0.11485051157183639,-0.23682885228209283,-0.007127829138420059,230.26320000000004,0.13728563935302848,0.020944134517969434,0.02926427629526255,-0.1278262411414371,1.9989313166559053,29.266126605194213,141.96208213191656,1.9988631527292813,0.7536761812665235,1.0978697223518912,0.004395170136319923,0.05862641172722844,0.5384263829347675,1.9993193508154643,0.21136783611476945,97.89961455409379,25.84438761376923,0.05633596759116316,0.8685891500075437,0.5606970298453465,-0.7236800215361394,-0.39694323233370005,0.011695936208437056,-0.2259281679109584,523.5410317335793,-57.97992554147758,0.01082434339201648,-0.6031050305910495,1.9997002272821778,0.41258422303958714,-0.7223472986784836,-0.28530295177036213,0.010444893388040359,-0.7872718713609261,1.9996994688485517,-0.2124339921016919,165.83362971161822,152.24911214424333,0.01020211228154799,-0.7186802729849365,1.9996799791248803,0.4099294903859858,82.7
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N[C@@H](Cc1ccc(OC(C)=O)cc1)C(=O)O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-933.6471361780573,1.3333371470300108,6866.200323550322,2138.098148393278,0.289330553561925,3.297801957455847,0.13237316438571903,0.1128151631680365,-0.24518832755375555,-0.01955800121768253,265.2652,0.19767448606502824,-0.024374519985738606,0.025186431995550707,-0.13997037701869214,1.9989631217501524,29.09241153530542,139.522134662221,1.998967593669886,0.7054200823993066,1.1446331388565953,0.19027979660595443,0.056723334281020554,0.8491235024379968,1.9992837027914232,0.1986108581511611,97.74640903192531,24.8856003696948,0.05649719005845896,0.8659932310965495,0.5534301399022492,-0.7587588686363529,-0.25147552321085315,0.010775527735467604,-0.24511185723494144,530.5656733726534,-44.45556542706613,0.010645010929009078,-0.62046142799567,1.999709799473123,0.3934240393856472,-0.6956780155113647,-0.18326088727116538,0.010456361776848205,-0.6980124259810817,1.999674152321133,-0.18002687864288772,158.7262883165979,152.39709105425032,0.010358785658966769,-0.6951635363402081,1.999674152321133,0.42486686341277846,62.2
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N[C@@H]1[C@@H](O[C@H](C)C(=O)O)[C@H](O)[C@@H](CO)O[C@@H]1O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-1085.2205995367951,2.988650042599733,5514.225468397263,2169.28250567166,0.34272637256135696,3.5928180450952785,0.12759852212590042,0.12939642625814382,-0.25699494838404424,0.001797904132243396,293.2730000000001,0.41625357026961257,0.089971746422835,0.027895384260092856,0.04138048353181533,1.9989199826755075,53.903534622693485,120.53501628487648,1.9988899956710109,0.6718883295629294,1.0328085900946207,-0.027706089790619396,0.05561123864061963,0.4876952444955874,1.9993299956794341,0.13717136804365465,99.14812357184847,23.315785757848044,0.05802522086493079,0.836907866332017,0.5772752373937855,-0.7229149180907811,-0.14589192762491707,0.01428844091159455,-0.23346269921048965,539.9326286984212,-62.198266386879,0.010899125585298102,-0.6057831289883825,1.9997099956681545,0.3768473408400349,-0.6804217338427316,-0.20863114092106583,0.01135595514354782,-0.7014735770399408,1.9997099434563037,-0.19743160284977995,166.554991208662,144.16355233636918,0.011206364168297294,-0.7158772812819936,1.9996800000028232,0.5630129731815138,24.0
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)OC(C)C(=O)O,-3542.2224511095274,7.456171713278985,11392.143394035898,2.382912913233639,0.16004186091592265,-495.3843541133607,2.041622513689951,1214.4584522420023,1152.704354105489,0.1433980691974423,1.9449508150811041,0.1422966805745477,0.14586689477885215,-0.28816357535339987,0.00357021420430442,132.1158,0.4223640841766688,0.08337780672100709,0.027098111833125382,0.04121609439176517,1.998936542179663,42.16087113655958,125.29106942432625,1.9989174066347473,0.6391247587295021,1.0705984887993607,0.02862926485787684,0.05312668821241427,0.5361099937258287,1.9993582710898314,0.16505535021650036,97.10460828039143,26.59099441231598,0.05799679810761073,0.8442329383265751,0.5713772709420898,-0.7188506686332656,-0.10641285505413377,0.013892883378976897,-0.2366048812358702,533.6703296960684,-49.16884568448071,0.010924066347473484,-0.6067842596899564,1.9997100000000003,0.3856466557012165,-0.6796734193795385,-0.1871573595645976,0.010670373461010605,-0.6671343813265753,1.9996982710898317,-0.19201453104189023,158.79242551178731,153.237241423821,0.010578762083905178,-0.7013730085499064,1.99968,0.43996219556373806,23.4
