,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_VBur,Br1_APT_charge,Br1_ES_root_Mulliken_charge,Br1_ES_root_NPA_Rydberg,Br1_ES_root_NPA_core,Br1_Mulliken_charge,Br1_NMR_anisotropy,Br1_NMR_shift,Br1_NPA_Rydberg,Br1_NPA_charge,Br1_NPA_core,Br1_VBur,yield
CCOc1ccc(F)c(B(O)O)c1Br,-3231.540851066905,3.507500254115233,3630.1518504118703,1726.75287539377,0.18306338206047573,2.352038080680175,0.1413676252186943,0.1044040949579659,-0.2457717201766602,-0.03696353026072841,262.8697,1611.6941155374216,0.3313442593697479,-0.09735819541277915,0.022117752752668467,-0.1527192786104566,1.9985500000000003,94.05162636909574,59.328517939189936,0.021455650864264944,-0.11819428454257636,0.7077889548269012,-0.21128836953930288,-0.021833937239672738,0.020461957660338467,27.998934422247487,-0.08607430631760289,765.1587754039488,2312.589797657197,0.0185504728302397,0.08433374195306835,27.999009326674248,0.475555734257408,0.0
OB(O)c1ccc(Br)s1,-3299.457693,2.1397,2593.0899,1126.156,0.091292,1.1666,0.14078000000000002,0.10021000000000001,-0.24099,-0.04057,206.8484,1224.083,0.353556,-0.265156,0.02468,-0.40531,1.99869,77.9456,56.2488,0.02441,-0.37368,0.606356198867212,-0.203474,0.086668,0.02459,27.99881,-0.044191,948.7559,2269.7402,0.02098,0.13192,27.99896,0.3696507237256136,3.0
CC1(C)OB(c2ccc(Br)cc2)OC1(C)C,-3213.049261,2.2397,7563.164,1709.256,0.28088,2.2325,0.13768,0.10783999999999999,-0.24552,-0.02984,282.9712,1626.55,0.447296,0.014391,0.02261,-0.15197,1.99866,112.1952,55.6032,0.02191,-0.10849,0.6110761485210825,-0.307754,-0.059843,0.01919,27.99905,-0.110674,1074.2565,2216.7303,0.01778,0.06333,27.99911,0.3749213341724355,20.9
C#Cc1ccc(Br)cc1,-2878.927637,1.4534,2237.1017,1121.382,0.108007,1.1899,0.140565,0.10003500000000001,-0.2406,-0.04053,181.0315,1299.784,0.392287,0.047643,0.02225,-0.10535,1.99863,111.887,59.1186,0.02193,-0.11893,0.6113908118313405,-0.285838,-0.04278,0.01881,27.99902,-0.100266,1065.2392,2212.6936,0.01802,0.07411,27.9991,0.37539332913782253,0.0
C=CCc1ccc(Br)c(F)c1,-3018.5803957954513,1.3927370510247794,3174.053560843814,1238.438942767954,0.15523245569980587,2.7285844214795016,0.1326105961337079,0.11295545939529975,-0.24556605552900765,-0.01965513673840813,215.0646,1243.1194909828926,0.23560645052508758,-0.05648227626241315,0.02250607088031061,-0.20712016393358457,1.9985345088600388,92.22834143834464,74.99298088508922,0.02169901772007765,-0.2046602253387964,0.6263436522903227,-0.21815297886909218,0.0006901024928135297,0.020571159480698868,27.99897,-0.0805580383020048,828.76808556215,2361.7320746159658,0.019084508860038825,0.09139932398361084,27.99907,0.38858283999889903,0.9
CC(=O)/C=C/c1ccc(Br)cc1,-3032.648490837181,5.741295543595237,5162.243088167857,1594.0127452141448,0.17411527452122733,2.1637081045521915,0.15949649821594009,0.08313104565643904,-0.24262754387237914,-0.07636545255950106,225.08450000000002,1539.7436592075742,0.4404745678293875,0.028739193184291856,0.02144463118036795,-0.1444467072016381,1.9986100000000002,114.73085369547582,56.540326855017405,0.022004631180367946,-0.11485282895214217,0.6106284412647784,-0.31407141884516876,-0.12774285844320055,0.018470000000000004,27.999090000000002,-0.09462262426274695,1047.9853253476952,2210.9183902497452,0.018061543726789316,0.07974752858077121,27.999090000000002,0.375684243192908,0.0
CC(=O)CC(=O)c1ccc(Br)cc1,-3107.8292544127416,4.1883408054189175,4760.53576383742,1326.9769715790908,0.1796519626824257,1.2834973305842097,0.16782811959327357,0.09325057148156221,-0.2610786910748358,-0.07457754811171134,241.0839,1466.820072763466,0.4783729566801439,0.0275215326395328,0.02165772579169882,-0.1463548447091459,1.9986199999999998,120.92691088377681,52.42039434377411,0.02210833876377099,-0.1035229523456252,0.6129604478074999,-0.29238258299015746,-0.11870251328103451,0.018575161388674523,27.999089999999995,-0.08931385602666388,1039.0411956099854,2199.1641220617685,0.017964548416602357,0.08418048569047867,27.999089999999995,0.3759678435945162,0.0
CC(=O)Cc1cccc(Br)c1,-2994.597339648382,1.089408289612574,3229.144315446916,1328.4359360366764,0.16781038167662005,1.6154591150948692,0.13747310350954037,0.10973038744378569,-0.24720349095332605,-0.027742716065754697,213.0735,1466.4603307025438,0.3923954101481884,0.04158073005087101,0.02234471419302504,-0.11214649679274863,1.998607701290275,108.41892352738782,59.87797271695196,0.022299428386050077,-0.11370893678389928,0.6105182352527134,-0.26653188286662793,-0.11226847617635878,0.017905519354125054,27.99911,-0.10987234635700743,1099.0452098680228,2225.687986053095,0.017830805161100013,0.06389330642187721,27.99911,0.3756835755913703,31.2
CC(=O)N1CCc2cc(Br)ccc21,-3087.984510464763,4.724361656707246,4307.698229244229,1597.705949247643,0.19423732142200037,4.440235933881055,0.11719273696939636,0.10090416706531102,-0.21809690403470738,-0.016288569904085337,240.09910000000002,1620.7586756608289,0.3038429618858678,0.054407344594569355,0.022017738073334556,-0.07102559660925659,1.9986192261926667,96.81880337469102,67.06814216809192,0.021682380917335292,-0.1319333923380291,0.6120065599380767,-0.2869130848757804,-0.05812679753187155,0.01842154761466691,27.99903,-0.1172167335221228,1082.6895322475807,2254.129607003288,0.01800773807333456,0.058743510592740106,27.99911,0.3756592946926711,0.1
CC(=O)Nc1ncc(F)cc1Br,-3125.868502685772,4.624173718498462,2850.9031582034027,1576.458287726894,0.13740059234693272,2.6338108952512296,0.14575482979112356,0.10190667672977825,-0.2476615065209018,-0.04384815306134529,233.0396,1272.1502918026133,0.2361423618125217,0.019696021901342908,0.020664947279133032,-0.17433033729571512,1.99853,107.08701250756067,66.35526797160877,0.021196444728505216,-0.1624099637138815,0.6611498040951617,-0.19273210312663566,-0.025926856911280688,0.02020829166715993,27.998923043083845,-0.06039751254693044,917.945678805713,2214.4341017728443,0.019195167234130533,0.11557381180719449,27.99902008134918,0.4286450462402984,8.9
