,UMAP1,UMAP2
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C#CCCCCCCC(=O)O,-1.7525518,1.7722967
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.C=CC[C@H](CC(=O)O)NC(=O)OC(C)(C)C,-0.82681715,2.31249
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)CCc1ccc(OCC(=O)O)cc1,8.963942,3.4244163
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N1CCCC1C(=O)O,4.6088705,0.74684554
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,4.7364335,0.85410553
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)NCCCCCC(=O)O,6.5964303,7.920498
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)NCCCC[C@H](NC(C)=O)C(=O)O,3.0591733,1.6986573
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N[C@@H](Cc1ccc(OC(C)=O)cc1)C(=O)O,5.644727,4.1382275
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)N[C@@H]1[C@@H](O[C@H](C)C(=O)O)[C@H](O)[C@@H](CO)O[C@@H]1O,5.815619,0.2166901
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)OC(C)C(=O)O,6.729187,-0.3065505
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)[C@H]1C[C@@H](CC(=O)O)C1(C)C,6.527935,7.748112
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(=O)c1c(C)nn(CCC(=O)O)c1C,5.900368,7.848077
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)C(=O)CCC(=O)O,6.425324,7.7660947
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)C1CCC(C(=O)O)CC1,-0.178273,-0.542358
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1C2CCC1CC(CC(=O)O)C2,-0.79128015,2.8146853
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC(C(=O)O)C(C)(C)C1,2.8842697,1.6593716
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC(C(=O)O)C1,2.6136577,2.7297273
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC(C(=O)O)CC(c2ccccc2)C1,3.374238,5.1502295
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC(CC(=O)O)C1,-0.05533775,3.0387294
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC(Cc2ccccc2)C(C(=O)O)C1,4.409208,4.442542
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC(F)(F)C[C@H]1C(=O)O,4.500998,0.17149264
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC(c2ccccc2)CC1C(=O)O,4.8577666,2.5157464
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC2CCC(C1)C2C(=O)O,1.2969694,0.18948963
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(=O)C[C@H]1C(=O)O,5.7060695,2.2563982
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1,0.8095762,-0.29246983
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(C(CC(=O)O)NC(=O)OCc2ccccc2)CC1,4.8927727,5.642937
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(CC(=O)O)(c2ccccc2)C1,4.829018,5.8703475
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(CC(=O)O)CC1,-1.0476134,2.2612276
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(CCCC(=O)O)CC1,-1.203951,3.1191487
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(N2CCC[C@H](CC(=O)O)C2=O)CC1,5.3141074,6.7320213
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(c2ccccc2)C(C(=O)O)C1,3.9602835,3.2139401
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC(c2ccccc2)C1C(=O)O,4.3949165,2.3769562
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC1CC(=O)O,0.36061004,2.460811
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC2(CC1)CC(C(=O)O)C2,0.543563,-0.76509285
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC2(CCC(CC(=O)O)CC2)CC1,-1.6727431,2.9204311
