,UMAP1,UMAP2
CCOc1ccc(F)c(B(O)O)c1Br,21.987284,9.638105
OB(O)c1ccc(Br)s1,21.652748,6.424003
CC1(C)OB(c2ccc(Br)cc2)OC1(C)C,26.717794,9.6517105
C#Cc1ccc(Br)cc1,24.093706,9.177606
C=CCc1ccc(Br)c(F)c1,21.371153,8.873244
CC(=O)/C=C/c1ccc(Br)cc1,25.876703,6.7065277
CC(=O)CC(=O)c1ccc(Br)cc1,25.576073,6.349078
CC(=O)Cc1cccc(Br)c1,24.835743,9.534492
CC(=O)N1CCc2cc(Br)ccc21,25.605686,11.955749
CC(=O)Nc1ncc(F)cc1Br,21.8605,8.473511
CC(=O)Nc1ccc(Br)cc1,24.8328,12.057827
CC(=O)c1cc(Br)cs1,22.211576,6.517821
CC(=O)Nc1ccc(C(C)=O)cc1Br,22.267317,9.540613
CC(=O)c1ccc(Oc2cccc(Br)c2)cc1,27.21618,8.769748
CC(=O)c1cccc(Br)c1,24.989052,6.757933
CC(C)(C#N)c1ccc(Br)cn1,23.91414,7.255342
CC(C)(C)OC(=O)N1CCC(Nc2ccc(Br)cc2)CC1,28.254747,10.140421
CC(C)(C)OC(=O)N1CCCC1c1nc(Br)c[nH]1,26.684526,10.925272
CC(C)(C)OC(=O)N1CCCc2ccc(Br)nc21,20.765776,12.66511
CC(C)(C)OC(=O)N1CCN(Cc2ccc(Br)cc2)CC1,27.884838,9.970751
CC(C)(C)OC(=O)N1CCN(c2ncc(Br)cn2)CC1,28.292719,9.504412
CC(C)(C)OC(=O)N1CCOc2ccc(Br)cc2C1,27.7732,10.284641
CC(C)(C)OC(=O)N1C[C@H](F)C[C@H]1c1nc(Br)c[nH]1,27.180386,11.257242
CC(C)(C)OC(=O)NC1(c2ccc(Br)cc2)CC(=O)C1,28.128393,9.639979
CC(C)(C)OC(=O)NCCc1c[nH]c2ccc(Br)cc12,27.057997,10.57961
CC(C)(C)OC(=O)NCc1cccc(Br)n1,20.676697,13.291902
CC(C)(C)OC(=O)Nc1ccc(Br)cn1,26.058704,10.001164
CC(C)(C)OC(=O)n1cc(CO)c2c(Br)cccc21,26.971767,9.9310875
CC(C)(C)OC(=O)n1cc(Br)c2cccnc21,21.601803,8.250218
CC(C)(C)Oc1ccc(Br)cc1,25.16669,11.04832
CC(C)(C)c1cc(Br)c2ncccc2c1,23.477495,8.490225
CC(C)(C)c1cccc(Br)c1,24.04539,11.357662
CC(C)(CO)c1cc(Br)ccn1,25.648441,8.345664
CC(C)(CO)c1ccc(Br)cn1,24.988302,9.370036
CC(C)(N)c1ccc(Br)cc1,24.127167,10.872719
CC(C)NC(=O)c1ccc(Br)cn1,26.216036,7.1977115
CC(C)Sc1ccc(Br)cc1,26.339027,8.645225
CC(C)c1ccc(Br)cc1,24.469595,11.374704
CC(O)c1ccc(Br)cc1,23.922125,11.129773
CC1(C)C(=O)Nc2ccc(Br)cc21,24.903069,10.390657
CCC(=O)c1ccc(Br)cc1O,25.48393,6.5006013
CCCc1cc(NC(=O)OC(C)(C)C)c2cc(Br)ccc2n1,28.481194,9.846347
CCOP(=O)(Cc1ccc(Br)cn1)OCC,27.32991,9.447194
CCc1cccn2c(Br)cnc12,20.137861,8.309401
CN(C)S(=O)(=O)c1ccc(Br)cc1,26.716076,7.698862
CN1CCOc2cc(Br)ccc21,25.90456,11.970871
CNC(=O)c1cccc(Br)c1,25.307213,7.9557333
CNC(=O)c1ccnc(Br)c1,19.19145,13.688659
COc1nccc(N)c1Br,20.637905,9.85002
COc1ncc(Br)nc1OC,19.89608,12.4257145
COc1cc(Br)cc(OC)c1,24.924276,11.284394
COc1cc2ccc(Br)nc2cn1,19.561596,13.335787
COc1ccc(COc2cccc(Br)n2)cc1,21.694733,12.802745
COc1ccc(Cn2cnc3cc(Br)ccc32)cc1,27.473902,10.704273
COc1ccc2nccc(Br)c2c1,22.600048,8.775386
COc1ccc2[nH]cc(Br)c2n1,20.75876,7.9603925
COc1ccc2nc(Br)ccc2n1,19.794168,13.14574
COc1ccc2cc(Br)ccc2n1,25.437765,9.00149
COc1ccc2cc(Br)cnc2n1,23.606327,7.7410016
COc1ccc2cc(Br)ncc2n1,19.844042,13.033783
COc1cccc(Br)c1,24.23196,10.67757
COc1ccccc1Br,21.17382,9.751447
COc1cccnc1Br,19.55856,11.986122
COc1ncc2cc(Br)ccc2n1,25.39993,7.294611
CS(=O)(=O)c1ccc(Br)cc1,24.356955,7.784741
CSc1ncc(Br)cn1,21.822985,6.789814
C[C@@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1,27.406466,10.273738
C[Si](C)(C)C#Cc1cccc(Br)c1,26.240799,9.540439
Cc1n[nH]c2cc(Br)ccc12,24.68339,9.116492
Cc1cc(Br)cc(Nc2nccc(C3CC3)n2)c1,27.677628,9.572555
Cc1cc(Br)ccn1,23.84293,9.240579
Cc1cncc(Br)c1,23.280813,9.463564
Cc1cc(Br)cnc1C,23.375639,10.092574
Cc1ccc(Br)cc1,23.507324,11.052188
Cc1ccc(S(=O)(=O)n2cc(Br)c3ccccc32)cc1,23.29558,8.436851
Cc1ccc(Br)cn1,23.260313,9.464119
Cc1ccc(Br)nc1,18.989418,12.50702
Cc1ccc2ccc(Br)nc2n1,19.4201,13.810342
Cc1ccnc(Br)c1,18.801712,12.669669
